Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 4816 Sel Score: 0.65 CDE: 14.7082 p value: 1.152e-01 RTime: 26.31,,(no adduct),374.7984,5,16,36
Overall rank: 4343 Sel Score: 0.64 CDE: 15.1578 p value: 9.850e-02 RTime: 26.247,,(no adduct),400.7137,4,16,36
Overall rank: 4567 Sel Score: 0.64 CDE: 14.9999 p value: 6.469e-03 RTime: 26.61,,(no adduct),439.4738,2,16,36
Overall rank: 4109 Sel Score: 0.64 CDE: 15.3072 p value: 5.026e-02 RTime: 26.26,,(no adduct),405.4736,2,16,36
Overall rank: 4990 Sel Score: 0.58 CDE: 14.86 p value: 1.194e-01 RTime: 26.252,,(no adduct),396.7224,2,16,36
Overall rank: 4603 Sel Score: 0.7 CDE: 13.7061 p value: 1.623e-02 RTime: 27.781,,(no adduct),361.1933,5,17,37
Overall rank: 4624 Sel Score: 0.69 CDE: 14.3034 p value: 5.139e-02 RTime: 27.948,,(no adduct),397.4813,2,17,37
Overall rank: 4884 Sel Score: 0.68 CDE: 13.6631 p value: 5.923e-02 RTime: 27.566,,(no adduct),342.9819,5,17,37
Overall rank: 5135 Sel Score: 0.67 CDE: 13.5381 p value: 8.454e-02 RTime: 27.953,,(no adduct),391.9514,2,17,37
Overall rank: 4515 Sel Score: 0.66 CDE: 14.8958 p value: 1.241e-01 RTime: 27.345,,(no adduct),399.4558,2,17,37
Overall rank: 4889 Sel Score: 0.66 CDE: 14.5461 p value: 4.777e-02 RTime: 27.054,,(no adduct),427.2404,4,17,37
Overall rank: 5021 Sel Score: 0.66 CDE: 14.3097 p value: 1.294e-01 RTime: 27.977,,(no adduct),347.788,5,17,37
Overall rank: 4792 Sel Score: 0.63 CDE: 14.8679 p value: 9.335e-02 RTime: 27.859,,(no adduct),413.456,2,17,37
Overall rank: 5047 Sel Score: 0.63 CDE: 14.6608 p value: 8.784e-02 RTime: 27.041,,(no adduct),387.7068,2,17,37
Overall rank: 5634 Sel Score: 0.57 CDE: 13.1994 p value: 9.242e-02 RTime: 27.647,,(no adduct),419.2411,4,17,37
Overall rank: 4501 Sel Score: 0.71 CDE: 13.7602 p value: 5.176e-02 RTime: 28.817,,(no adduct),336.7911,5,18,38
Overall rank: 4649 Sel Score: 0.7 CDE: 13.9321 p value: 4.305e-02 RTime: 28.647,,(no adduct),375.9586,4,18,38
Overall rank: 4818 Sel Score: 0.67 CDE: 14.3925 p value: 1.449e-02 RTime: 28.807,,(no adduct),432.4723,2,18,38
Overall rank: 5158 Sel Score: 0.65 CDE: 14.1721 p value: 7.067e-02 RTime: 28.539,,(no adduct),335.7964,5,18,38
Overall rank: 5383 Sel Score: 0.64 CDE: 13.3575 p value: 1.185e-01 RTime: 28.837,,(no adduct),397.7136,2,18,38
Overall rank: 5328 Sel Score: 0.64 CDE: 13.9445 p value: 1.664e-02 RTime: 28.773,,(no adduct),410.4819,4,18,38
Overall rank: 5449 Sel Score: 0.64 CDE: 12.7417 p value: 6.077e-02 RTime: 28.725,,(no adduct),382.7163,2,18,38
Overall rank: 5532 Sel Score: 0.59 CDE: 13.9247 p value: 7.119e-02 RTime: 28.94,,(no adduct),455.4805,2,18,38
Overall rank: 5313 Sel Score: 0.58 CDE: 14.5081 p value: 4.049e-02 RTime: 28.319,,(no adduct),343.9967,5,18,38
Overall rank: 5540 Sel Score: 0.57 CDE: 13.9843 p value: 1.179e-01 RTime: 28.76,,(no adduct),449.5006,2,18,38
Overall rank: 4611 Sel Score: 0.69 CDE: 14.2084 p value: 5.105e-02 RTime: 29.75,,(no adduct),351.5964,5,19,39
Overall rank: 4390 Sel Score: 0.69 CDE: 14.6172 p value: 3.201e-02 RTime: 29.442,,(no adduct),392.9631,4,19,39
Overall rank: 5027 Sel Score: 0.67 CDE: 13.3033 p value: 6.968e-02 RTime: 29.716,,(no adduct),417.7082,2,19,39
Overall rank: 4997 Sel Score: 0.66 CDE: 14.2349 p value: 5.065e-02 RTime: 29.57,,(no adduct),423.4857,4,19,39
Overall rank: 5400 Sel Score: 0.64 CDE: 13.2009 p value: 6.041e-02 RTime: 29.961,,(no adduct),402.4558,2,19,39
Overall rank: 4928 Sel Score: 0.64 CDE: 14.7144 p value: 1.261e-01 RTime: 29.569,,(no adduct),429.9645,2,19,39
Overall rank: 5429 Sel Score: 0.64 CDE: 12.9167 p value: 5.937e-02 RTime: 29.157,,(no adduct),367.6028,5,19,39
Overall rank: 5552 Sel Score: 0.62 CDE: 12.7956 p value: 1.099e-01 RTime: 29.31,,(no adduct),432.4984,4,19,39
Overall rank: 5075 Sel Score: 0.61 CDE: 14.722 p value: 1.307e-01 RTime: 29.067,,(no adduct),445.4832,4,19,39
Overall rank: 4362 Sel Score: 0.58 CDE: 15.2736 p value: 7.630e-02 RTime: 29.426,,(no adduct),444.9814,4,19,39
Overall rank: 4366 Sel Score: 0.71 CDE: 14.3361 p value: 1.059e-01 RTime: 30.726,,(no adduct),420.2124,2,20,40
Overall rank: 4648 Sel Score: 0.7 CDE: 13.7319 p value: 4.931e-02 RTime: 30.129,,(no adduct),439.9825,2,20,40
Overall rank: 4346 Sel Score: 0.69 CDE: 14.7494 p value: 9.621e-02 RTime: 30.642,,(no adduct),434.7152,4,20,40
Overall rank: 5117 Sel Score: 0.67 CDE: 12.9898 p value: 8.550e-02 RTime: 30.882,,(no adduct),385.7188,2,20,40
Overall rank: 4695 Sel Score: 0.66 CDE: 14.7226 p value: 7.347e-02 RTime: 30.393,,(no adduct),409.2367,2,20,40
Overall rank: 4646 Sel Score: 0.66 CDE: 14.778 p value: 5.824e-02 RTime: 30.026,,(no adduct),415.2417,4,20,40
Overall rank: 5059 Sel Score: 0.65 CDE: 14.4256 p value: 1.161e-01 RTime: 30.192,,(no adduct),441.4946,4,20,40
Overall rank: 5095 Sel Score: 0.65 CDE: 14.3589 p value: 1.240e-01 RTime: 30.44,,(no adduct),383.2042,2,20,40
Overall rank: 5275 Sel Score: 0.63 CDE: 14.2789 p value: 1.182e-01 RTime: 30.34,,(no adduct),443.2433,4,20,40
Overall rank: 5184 Sel Score: 0.59 CDE: 14.6493 p value: 1.052e-01 RTime: 30.078,,(no adduct),452.2267,2,20,40
Overall rank: 4235 Sel Score: 0.73 CDE: 12.9138 p value: 1.237e-02 RTime: 31.235,,(no adduct),416.9887,2,21,41
Overall rank: 4285 Sel Score: 0.72 CDE: 14.0007 p value: 1.187e-01 RTime: 31.938,,(no adduct),426.4877,2,21,41
Overall rank: 4092 Sel Score: 0.72 CDE: 14.5325 p value: 4.924e-02 RTime: 31.178,,(no adduct),361.3911,5,21,41
Overall rank: 4614 Sel Score: 0.7 CDE: 13.8751 p value: 6.583e-02 RTime: 31.699,,(no adduct),442.9999,4,21,41
Overall rank: 4674 Sel Score: 0.7 CDE: 13.4252 p value: 9.677e-02 RTime: 31.837,,(no adduct),385.2123,2,21,41
Overall rank: 4628 Sel Score: 0.68 CDE: 14.5647 p value: 8.382e-02 RTime: 31.769,,(no adduct),341.1947,5,21,41
Overall rank: 4738 Sel Score: 0.68 CDE: 14.4117 p value: 1.191e-01 RTime: 31.88,,(no adduct),437.994,2,21,41
Overall rank: 5084 Sel Score: 0.67 CDE: 12.5633 p value: 1.101e-01 RTime: 31.171,,(no adduct),393.2133,4,21,41
Overall rank: 4409 Sel Score: 0.65 CDE: 15.0737 p value: 6.850e-02 RTime: 31.609,,(no adduct),421.7251,2,21,41
Overall rank: 4671 Sel Score: 0.64 CDE: 14.9055 p value: 1.203e-03 RTime: 31.245,,(no adduct),458.4935,2,21,41
Overall rank: 4830 Sel Score: 0.68 CDE: 14.1044 p value: 5.530e-02 RTime: 32.87,,(no adduct),415.9932,2,22,42
Overall rank: 4583 Sel Score: 0.67 CDE: 14.7099 p value: 9.674e-02 RTime: 32.241,,(no adduct),434.2423,4,22,42
