Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 277 Sel Score: 0.65 CDE: 15.2741 p value: 4.815e-02 RTime: 31.659,,(no adduct),450.7266,2,21,41
Overall rank: 446 Sel Score: 0.64 CDE: 12.5346 p value: 1.183e-01 RTime: 32.009,,(no adduct),449.995,2,22,42
Overall rank: 26 Sel Score: 0.81 CDE: 16.671 p value: 1.035e-01 RTime: 33.565,,(no adduct),451.2837,2,23,43
Overall rank: 419 Sel Score: 0.59 CDE: 14.5351 p value: 6.398e-02 RTime: 33.792,,(no adduct),411.2123,2,23,43
Overall rank: 483 Sel Score: 0.54 CDE: 13.699 p value: 1.149e-01 RTime: 33.456,,(no adduct),457.2328,2,23,43
Overall rank: 389 Sel Score: 0.63 CDE: 14.5326 p value: 7.619e-02 RTime: 34.043,,(no adduct),446.9931,4,24,44
Overall rank: 462 Sel Score: 0.61 CDE: 13.6271 p value: 6.006e-02 RTime: 35.271,,(no adduct),418.9802,4,25,45
Overall rank: 272 Sel Score: 0.65 CDE: 15.2809 p value: 7.770e-02 RTime: 36.883,,(no adduct),443.2227,2,26,46
Overall rank: 247 Sel Score: 0.71 CDE: 14.9111 p value: 1.736e-02 RTime: 37.404,,(no adduct),458.9784,4,27,47
Overall rank: 358 Sel Score: 0.63 CDE: 14.8457 p value: 1.040e-01 RTime: 37.028,,(no adduct),459.745,2,27,47
Overall rank: 328 Sel Score: 0.62 CDE: 15.0811 p value: 1.105e-01 RTime: 37.785,,(no adduct),453.7474,2,27,47
Overall rank: 437 Sel Score: 0.62 CDE: 14.115 p value: 3.528e-02 RTime: 38.499,,(no adduct),462.2533,4,28,48
Overall rank: 372 Sel Score: 0.64 CDE: 14.5471 p value: 1.016e-01 RTime: 39.296,,(no adduct),398.4553,2,29,49
Overall rank: 156 Sel Score: 0.68 CDE: 16.0025 p value: 6.534e-02 RTime: 47.229,,(no adduct),452.2373,4,37,57
Overall rank: 390 Sel Score: 0.59 CDE: 14.8701 p value: 9.738e-02 RTime: 49.556,,(no adduct),451.4763,4,39,59
Overall rank: 14 Sel Score: 0.97 CDE: 15.9935 p value: 1.564e-02 RTime: 51.772,,(no adduct),876.0757,2,41,61
Overall rank: 58 Sel Score: 0.97 CDE: 15.4426 p value: 3.394e-02 RTime: 52.651,,(no adduct),876.0752,2,42,62
Overall rank: 329 Sel Score: 0.61 CDE: 15.1994 p value: 1.087e-01 RTime: 52.735,,(no adduct),462.7321,4,42,62
