Compound,m/z,z,p value,specificity
"Sel Score: 0.88 RTime: 2164.579 Areas: [3891920.297866372, 6772834.585441895, 8601201.916790184, 4344523.998808332, 14525474.922507584, 5163770.496603729]",405.2305,2.0,0.0967607292864977,WDR5
"Sel Score: 0.88 RTime: 3340.128 Areas: [5873843.382467704, 7291591.959475742, 7816365.739422856, 8128610.78708357, 5960837.454086069, 8693844.00319848]",429.9891,4.0,0.017269872051194464,WDR5
"Sel Score: 0.88 RTime: 5703.687 Areas: [4759127.716125466, 410057.65884273924, 1308956.543720344, 3919327.123753049, 7295928.059945556, 2410243.624339177]",840.9419,2.0,0.026586157295609855,WDR5
"Sel Score: 0.88 RTime: 2054.723 Areas: [3807234.523842374, 4054620.898556294, 3410929.5254989383, 10322867.646639263, 9954.0, 2725293.2079087202]",399.2395,2.0,0.11439558306938083,WDR5
"Sel Score: 0.88 RTime: 2066.234 Areas: [1274739.5442633764, 1275116.8360948649, 1410042.4435485597, 1085630.316853567, 1101155.2067370813, 559830.092585232]",412.4862,4.0,0.07259477738057504,WDR5
"Sel Score: 0.88 RTime: 1233.501 Areas: [833803.9016146885, 1635063.523228135, 3099101.3105430994, 1929366.2025550492, 4658661.884478732, 2430545.3805235126]",357.9889,5.0,0.023874199427354685,WDR5
"Sel Score: 0.88 RTime: 6852.106 Areas: [8959629.902129952, 13992004.370297257, 6023982.938050299, 7733106.301806363, 5433569.8312625, 8678156.189558635]",983.5025,2.0,0.056377250305902134,WDR5
"Sel Score: 0.88 RTime: 2381.133 Areas: [11560067.149056561, 5614008.400783006, 4803437.150007155, 36193941.517187074, 15438537.014758777, 5475469.663608049]",403.2391,2.0,0.09367487351475394,WDR5
"Sel Score: 0.88 RTime: 1224.798 Areas: [2893926.0769608673, 1785917.3018895346, 2186395.859363232, 3020813.5572380386, 5660795.029715045, 2397190.5259457217]",339.5928,5.0,0.01748560867641968,WDR5
"Sel Score: 0.88 RTime: 1896.929 Areas: [6069224.842912383, 5209782.87817291, 8952037.04698748, 8540295.087629639, 18382842.747772176, 6361712.124526048]",391.4755,4.0,0.026387570877683262,WDR5
"Sel Score: 0.88 RTime: 2466.694 Areas: [4927461.332154362, 2366168.825370162, 2351082.8485871353, 3795512.7929067416, 6113109.864266506, 8448340.029557185]",401.4642,2.0,0.1127867242531228,WDR5
"Sel Score: 0.88 RTime: 1195.055 Areas: [5500339.003209231, 4511023.671403701, 1562729.9475002354, 8721741.27271843, 13006143.91140025, 18699057.09699359]",337.7968,5.0,0.09483171660192852,WDR5
"Sel Score: 0.88 RTime: 6951.024 Areas: [3761366.7770042955, 1960848.9725816674, 4846133.528878396, 8209328.288200353, 20328608.058956303, 7745258.210629646]",470.2612,3.0,0.011040815599620182,WDR5
"Sel Score: 0.88 RTime: 2515.343 Areas: [5304228.087525919, 6369815.910922543, 5926910.817097387, 4911705.210161609, 4603621.934376755, 3065751.974817274]",414.4871,4.0,0.11284665566673371,WDR5
"Sel Score: 0.87 RTime: 2463.026 Areas: [6578791.406126534, 8602158.691288818, 5310684.69826376, 6662758.346050109, 9284189.593583733, 3433647.0753363045]",397.7248,2.0,0.08867733445838429,WDR5
"Sel Score: 0.87 RTime: 2779.83 Areas: [8210049.244709553, 3566708.349398817, 2835039.6431338955, 17506014.610809896, 2714449.689043643, 2762593.0481378473]",391.2189,4.0,0.0950349859426573,WDR5
"Sel Score: 0.87 RTime: 2338.521 Areas: [5274677.077101172, 2900780.774712327, 5996109.479679637, 13678023.283402523, 9394782.549928403, 18547050.791749973]",405.4718,4.0,0.11349948870751027,WDR5
"Sel Score: 0.87 RTime: 3269.289 Areas: [7719788.842575075, 11773049.851276485, 3523506.3567792885, 15737943.003309634, 12884888.31597833, 6074694.201569719]",408.4787,2.0,0.1011408430289807,WDR5
"Sel Score: 0.87 RTime: 2577.491 Areas: [6211879.436949112, 4674493.93799597, 3966983.8276308766, 10081377.526676599, 29560747.074451737, 9964344.901989462]",423.2221,4.0,0.01012137674993635,WDR5
"Sel Score: 0.87 RTime: 2302.083 Areas: [2173531.5637813485, 1640178.9420510824, 1800326.7099172901, 6464937.922106756, 5512846.036813156, 1987360.136061734]",371.5965,5.0,0.0762449861517672,WDR5
"Sel Score: 0.87 RTime: 2731.384 Areas: [2632389.920103509, 3485570.6066874526, 1584645.635854023, 5119505.786142341, 7389120.468688726, 4315334.795923757]",419.7188,2.0,0.029974483864052295,WDR5
"Sel Score: 0.87 RTime: 5423.513 Areas: [8424851.22850773, 5297295.172925404, 6023409.373596799, 9797985.549425114, 3096313.304484085, 7638106.387559611]",443.2126,2.0,0.053469579337005434,WDR5
"Sel Score: 0.87 RTime: 5388.022 Areas: [3969677.1123532197, 3299890.402761126, 4598978.524164102, 19241386.841828775, 13451491.687326193, 6053960.457163792]",443.212,2.0,0.053469517305960876,WDR5
"Sel Score: 0.87 RTime: 2309.489 Areas: [8519957.382633222, 4084433.6867929352, 11506769.65038845, 3163359.0357393525, 3160352.874495445, 5213402.125504319]",398.7295,2.0,0.08600712261015957,WDR5
