Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 222 Sel Score: 0.87 CDE: 16.2066 p value: 9.503e-02 RTime: 46.33,,(no adduct),391.2189,4,36,56
Overall rank: 753 Sel Score: 0.87 CDE: 15.7481 p value: 1.135e-01 RTime: 38.975,,(no adduct),405.4718,4,28,48
Overall rank: 1509 Sel Score: 0.87 CDE: 15.3292 p value: 1.011e-01 RTime: 54.488,,(no adduct),408.4787,2,44,64
Overall rank: 1927 Sel Score: 0.87 CDE: 15.0949 p value: 1.012e-02 RTime: 42.958,,(no adduct),423.2221,4,32,52
Overall rank: 2026 Sel Score: 0.87 CDE: 15.0275 p value: 7.624e-02 RTime: 38.368,,(no adduct),371.5965,5,28,48
Overall rank: 695 Sel Score: 0.87 CDE: 15.7879 p value: 2.997e-02 RTime: 45.523,,(no adduct),419.7188,2,35,55
Overall rank: 2014 Sel Score: 0.87 CDE: 15.0355 p value: 5.347e-02 RTime: 90.392,,(no adduct),443.2126,2,80,100
Overall rank: 2011 Sel Score: 0.87 CDE: 15.0366 p value: 5.347e-02 RTime: 89.8,,(no adduct),443.212,2,79,99
Overall rank: 1593 Sel Score: 0.87 CDE: 15.2855 p value: 8.601e-02 RTime: 38.491,,(no adduct),398.7295,2,28,48
Overall rank: 1190 Sel Score: 0.87 CDE: 15.5015 p value: 1.051e-01 RTime: 56.113,,(no adduct),409.7236,2,46,66
Overall rank: 2284 Sel Score: 0.87 CDE: 14.8148 p value: 3.575e-02 RTime: 55.906,,(no adduct),408.4638,2,45,65
Overall rank: 2509 Sel Score: 0.87 CDE: 14.5688 p value: 5.079e-02 RTime: 115.915,,(no adduct),704.8874,2,105,120
Overall rank: 1274 Sel Score: 0.87 CDE: 15.4577 p value: 1.078e-01 RTime: 33.359,,(no adduct),399.7181,2,23,43
Overall rank: 1110 Sel Score: 0.87 CDE: 15.5445 p value: 7.062e-02 RTime: 36.435,,(no adduct),406.9865,4,26,46
Overall rank: 1547 Sel Score: 0.87 CDE: 15.3149 p value: 8.383e-02 RTime: 35.528,,(no adduct),405.2327,4,25,45
Overall rank: 853 Sel Score: 0.87 CDE: 15.6989 p value: 4.457e-02 RTime: 32.206,,(no adduct),436.2217,4,22,42
Overall rank: 777 Sel Score: 0.87 CDE: 15.7435 p value: 1.155e-01 RTime: 35.097,,(no adduct),386.2157,4,25,45
Overall rank: 1859 Sel Score: 0.87 CDE: 15.1499 p value: 7.061e-02 RTime: 52.546,,(no adduct),414.2066,2,42,62
Overall rank: 229 Sel Score: 0.87 CDE: 16.2267 p value: 4.202e-02 RTime: 48.435,,(no adduct),429.7377,4,38,58
Overall rank: 134 Sel Score: 0.87 CDE: 16.4855 p value: 4.486e-02 RTime: 37.944,,(no adduct),419.2241,4,27,47
Overall rank: 1737 Sel Score: 0.86 CDE: 15.2134 p value: 7.715e-02 RTime: 28.254,,(no adduct),337.3814,5,18,38
Overall rank: 599 Sel Score: 0.86 CDE: 15.8633 p value: 9.792e-02 RTime: 34.806,,(no adduct),407.4608,4,24,44
Overall rank: 2196 Sel Score: 0.86 CDE: 14.9055 p value: 3.076e-02 RTime: 27.647,,(no adduct),356.5894,5,17,37
Overall rank: 437 Sel Score: 0.86 CDE: 15.9853 p value: 3.231e-02 RTime: 46.891,,(no adduct),408.7157,4,36,56
Overall rank: 903 Sel Score: 0.86 CDE: 15.6765 p value: 6.789e-02 RTime: 42.698,,(no adduct),397.2149,4,32,52
Overall rank: 640 Sel Score: 0.86 CDE: 15.8398 p value: 3.414e-02 RTime: 20.267,,(no adduct),413.9709,2,10,30
Overall rank: 2888 Sel Score: 0.86 CDE: 13.2232 p value: 2.361e-02 RTime: 125.438,,(no adduct),485.0257,4,115,120
Overall rank: 2159 Sel Score: 0.86 CDE: 14.9388 p value: 5.385e-02 RTime: 33.997,,(no adduct),386.9543,4,23,43
Overall rank: 1269 Sel Score: 0.86 CDE: 15.4708 p value: 1.016e-01 RTime: 19.521,,(no adduct),344.4062,5,9,29
Overall rank: 1727 Sel Score: 0.86 CDE: 15.2248 p value: 9.768e-02 RTime: 35.526,,(no adduct),431.2613,4,25,45
Overall rank: 1304 Sel Score: 0.86 CDE: 15.4527 p value: 3.072e-02 RTime: 39.382,,(no adduct),392.4582,2,29,49
Overall rank: 543 Sel Score: 0.86 CDE: 15.9108 p value: 4.757e-02 RTime: 20.528,,(no adduct),358.5921,5,10,30
Overall rank: 815 Sel Score: 0.86 CDE: 15.7326 p value: 6.650e-02 RTime: 44.323,,(no adduct),444.2164,2,34,54
Overall rank: 435 Sel Score: 0.86 CDE: 15.9953 p value: 1.170e-01 RTime: 35.146,,(no adduct),404.7192,4,25,45
Overall rank: 1020 Sel Score: 0.86 CDE: 15.6087 p value: 3.879e-02 RTime: 34.008,,(no adduct),436.9715,2,24,44
Overall rank: 2351 Sel Score: 0.86 CDE: 14.7793 p value: 4.400e-02 RTime: 39.64,,(no adduct),408.9861,2,29,49
Overall rank: 702 Sel Score: 0.86 CDE: 15.8038 p value: 1.243e-01 RTime: 50.047,,(no adduct),420.2455,2,40,60
Overall rank: 1674 Sel Score: 0.86 CDE: 15.256 p value: 7.177e-02 RTime: 59.189,,(no adduct),442.2512,4,49,69
Overall rank: 2672 Sel Score: 0.86 CDE: 14.3423 p value: 9.172e-02 RTime: 39.754,,(no adduct),375.969,4,29,49
Overall rank: 1167 Sel Score: 0.86 CDE: 15.5294 p value: 3.883e-02 RTime: 44.387,,(no adduct),391.2253,4,34,54
Overall rank: 864 Sel Score: 0.86 CDE: 15.7073 p value: 1.190e-02 RTime: 59.038,,(no adduct),436.9762,4,49,69
Overall rank: 1185 Sel Score: 0.86 CDE: 15.5205 p value: 1.537e-02 RTime: 20.021,,(no adduct),365.0039,5,10,30
Overall rank: 346 Sel Score: 0.86 CDE: 16.1007 p value: 4.918e-02 RTime: 35.205,,(no adduct),433.4853,4,25,45
Overall rank: 841 Sel Score: 0.86 CDE: 15.7226 p value: 6.542e-02 RTime: 21.097,,(no adduct),344.5885,5,11,31
Overall rank: 1144 Sel Score: 0.86 CDE: 15.5427 p value: 4.499e-02 RTime: 101.818,,(no adduct),880.2255,2,91,111
Overall rank: 117 Sel Score: 0.86 CDE: 17.8843 p value: 1.204e-01 RTime: 78.134,,(no adduct),648.3389,3,68,88
Overall rank: 1041 Sel Score: 0.86 CDE: 15.6028 p value: 9.020e-02 RTime: 32.402,,(no adduct),409.9638,2,22,42
Overall rank: 2559 Sel Score: 0.86 CDE: 14.5557 p value: 9.476e-04 RTime: 31.373,,(no adduct),420.7139,4,21,41
Overall rank: 2331 Sel Score: 0.86 CDE: 14.8052 p value: 7.316e-04 RTime: 28.659,,(no adduct),343.7834,5,18,38
Overall rank: 1464 Sel Score: 0.86 CDE: 15.3767 p value: 9.999e-02 RTime: 49.601,,(no adduct),390.4717,4,39,59
Overall rank: 1656 Sel Score: 0.85 CDE: 15.2691 p value: 1.202e-01 RTime: 36.116,,(no adduct),360.4041,5,26,46
Overall rank: 2355 Sel Score: 0.85 CDE: 14.7892 p value: 6.991e-04 RTime: 36.279,,(no adduct),366.7947,5,26,46
Overall rank: 123 Sel Score: 0.85 CDE: 17.9201 p value: 4.278e-02 RTime: 53.847,,(no adduct),468.7476,2,43,63
Overall rank: 2198 Sel Score: 0.85 CDE: 14.9306 p value: 1.215e-01 RTime: 33.13,,(no adduct),353.3962,5,23,43
Overall rank: 1310 Sel Score: 0.85 CDE: 15.4598 p value: 1.312e-01 RTime: 51.544,,(no adduct),403.9683,2,41,61
Overall rank: 2726 Sel Score: 0.85 CDE: 14.2625 p value: 6.572e-02 RTime: 36.842,,(no adduct),334.1904,5,26,46
Overall rank: 496 Sel Score: 0.85 CDE: 15.9627 p value: 1.128e-01 RTime: 33.3,,(no adduct),410.2236,2,23,43
Overall rank: 2922 Sel Score: 0.85 CDE: 13.1979 p value: 5.800e-03 RTime: 34.458,,(no adduct),352.5978,5,24,44
Overall rank: 2735 Sel Score: 0.85 CDE: 14.2385 p value: 3.925e-02 RTime: 44.364,,(no adduct),352.7927,5,34,54
Overall rank: 1032 Sel Score: 0.85 CDE: 15.6154 p value: 5.408e-02 RTime: 39.78,,(no adduct),384.2188,2,29,49
Overall rank: 1992 Sel Score: 0.85 CDE: 15.0897 p value: 8.543e-03 RTime: 21.699,,(no adduct),329.3876,5,11,31
Overall rank: 1533 Sel Score: 0.85 CDE: 15.3491 p value: 1.012e-01 RTime: 50.81,,(no adduct),425.2286,4,40,60
Overall rank: 263 Sel Score: 0.85 CDE: 16.2487 p value: 1.289e-01 RTime: 47.563,,(no adduct),429.7396,4,37,57
Overall rank: 903 Sel Score: 0.85 CDE: 15.6965 p value: 6.899e-02 RTime: 76.254,,(no adduct),565.9584,3,66,86
Overall rank: 2398 Sel Score: 0.85 CDE: 14.7594 p value: 1.005e-01 RTime: 26.821,,(no adduct),338.79,5,16,36
Overall rank: 432 Sel Score: 0.85 CDE: 16.0291 p value: 1.227e-01 RTime: 35.211,,(no adduct),413.2403,4,25,45
Overall rank: 1387 Sel Score: 0.85 CDE: 15.4283 p value: 9.956e-02 RTime: 64.886,,(no adduct),433.2196,2,54,74
Overall rank: 1675 Sel Score: 0.85 CDE: 15.2673 p value: 6.563e-02 RTime: 35.577,,(no adduct),364.1976,5,25,45
Overall rank: 674 Sel Score: 0.85 CDE: 15.8465 p value: 7.550e-02 RTime: 44.882,,(no adduct),391.212,2,34,54
Overall rank: 1007 Sel Score: 0.85 CDE: 15.6363 p value: 8.720e-02 RTime: 40.493,,(no adduct),406.9783,2,30,50
Overall rank: 2754 Sel Score: 0.85 CDE: 14.229 p value: 1.074e-01 RTime: 22.144,,(no adduct),328.9924,5,12,32
Overall rank: 900 Sel Score: 0.85 CDE: 15.7062 p value: 1.835e-03 RTime: 32.404,,(no adduct),431.2153,2,22,42
Overall rank: 2600 Sel Score: 0.85 CDE: 14.535 p value: 4.068e-02 RTime: 27.406,,(no adduct),389.4889,4,17,37
