Compound,m/z,z,p value,specificity,areas
Sel Score: 0.79 RTime: 1336.045,455.0141,2.0,0.053309209280594134,12ca5,"[8062105.990367803, 4928420.975123676, 10222170.435991049, 1276637.341758973, 1763697.9053226642, 2980206.0996390563]"
Sel Score: 0.79 RTime: 1416.986,447.0,2.0,0.02055320398857753,12ca5,"[15914673.830808846, 10975966.094455594, 12967090.794622878, 3516493.181117189, 3374180.8947162465, 3467101.758787915]"
Sel Score: 0.79 RTime: 1390.361,454.5016,4.0,0.0648197736478532,12ca5,"[10319737.48761176, 16855413.12196541, 9039667.201245688, 3403546.097285175, 2642164.2297118334, 3397897.4387845728]"
Sel Score: 0.79 RTime: 1412.426,456.0212,2.0,0.20284771878236824,Unclear,"[6558686.628329784, 1820258.3341032236, 2546271.4898104286, 696796.0804302219, 306507.08249092486, 1855826.932376397]"
Sel Score: 0.79 RTime: 1392.086,433.0078,2.0,0.010236802906318678,12ca5,"[8780653.367227254, 7417128.267581824, 11160665.217158388, 4305219.400388678, 1498151.2925765745, 1379489.2207564837]"
Sel Score: 0.79 RTime: 1311.047,466.7642,2.0,0.26195548370026983,Unclear,"[224962.63588272204, 5595641.002282628, 6739192.789864292, 1766324.8604001605, 361438.6920194126, 1176668.785318827]"
Sel Score: 0.79 RTime: 1334.083,415.7563,4.0,0.05698428656093171,12ca5,"[6031701.302630844, 5102352.135573429, 3024817.246260764, 1382411.9347630495, 1349770.0751747738, 994178.7679360962]"
Sel Score: 0.79 RTime: 6942.823,561.2998,3.0,0.0031919145799787292,12ca5,"[1307134.4763175396, 1386775.688381627, 1567383.5643205117, 348391.5438667148, 358495.78865314944, 418259.09583805595]"
Sel Score: 0.79 RTime: 1302.627,444.0147,2.0,0.1467851827491663,Unclear,"[8644043.418900207, 2358224.5897581447, 6424296.528395458, 1612147.5540544272, 1368166.2117138056, 1693371.1687889874]"
Sel Score: 0.79 RTime: 1328.133,454.247,2.0,0.1007372088799197,12ca5,"[5956440.9286812, 14622015.16724867, 16539667.09186695, 2191700.9085247153, 2804174.0208274494, 5116091.91833848]"
Sel Score: 0.78 RTime: 1392.714,433.5052,4.0,0.18397933752318588,Unclear,"[15315979.438601041, 12073190.624532726, 2927537.2707471717, 2305703.3616182827, 2095205.0794969627, 3906556.765079251]"
Sel Score: 0.78 RTime: 1613.537,446.2531,4.0,0.1036537183908816,12ca5,"[4711943.449966988, 11068812.053851519, 12843165.03717426, 2840455.103882047, 3170937.4258286594, 1853544.6289482084]"
Sel Score: 0.78 RTime: 1428.997,441.5053,4.0,0.0008315895942809084,12ca5,"[11710801.736253988, 12585896.907500483, 12217916.89536921, 4481470.687473142, 2833060.6175530725, 2957284.3215560303]"
Sel Score: 0.78 RTime: 1352.234,452.2556,4.0,0.05148154125784362,12ca5,"[7542816.763153927, 12087832.849164097, 7384187.176592256, 2380444.323642224, 2434505.4896893157, 2796670.112714572]"
Sel Score: 0.78 RTime: 7776.148,547.8559,2.0,0.5300000796628211,Unclear,"[29282740.379652034, 10088.0, 998251.5534921038, 9996.0, 4489652.926667447, 4044314.2170506436]"
