Compound,m/z,z,p value,specificity
"Sel Score: 0.76 RTime: 1526.791 Areas: [4865190.737044176, 6608431.855670415, 5917525.488164065, 4852153.591976125, 5748418.448418989, 3901220.1568808206]",450.0009,4.0,0.03890118878727728,12ca5
"Sel Score: 0.76 RTime: 1433.141 Areas: [2682302.285941173, 7441834.061861087, 2565263.420604504, 4299838.997449294, 12442429.127977217, 2724404.4882817897]",439.2498,4.0,0.09145207225131151,12ca5
"Sel Score: 0.75 RTime: 1329.219 Areas: [10674188.438246852, 6119868.486329438, 5646494.213966619, 25592035.040841192, 16294841.429178782, 9365315.736727346]",436.5011,2.0,0.05965890862267805,12ca5
"Sel Score: 0.75 RTime: 7495.983 Areas: [7436306.187715413, 5487946.173763217, 4323372.683655208, 5742630.250947618, 6459985.062771234, 3905456.1296159206]",564.0604,4.0,0.025127498060664076,12ca5
"Sel Score: 0.75 RTime: 1306.931 Areas: [2866076.4277135707, 5422517.424793043, 5254604.098231855, 9413540.234454218, 8346613.246237971, 6537821.485728612]",449.0084,4.0,0.09570152617945307,12ca5
"Sel Score: 0.75 RTime: 1322.634 Areas: [14344290.915757813, 12992958.922245191, 13767597.836312981, 9137191.394184722, 7181744.144212215, 6135772.418280303]",443.2559,2.0,0.04894837587278399,12ca5
"Sel Score: 0.75 RTime: 1416.916 Areas: [10623960.965218857, 5056049.88588792, 4930136.708547751, 38645204.464831345, 16416171.713138182, 13940986.920050334]",430.75,2.0,0.07145614612539704,12ca5
"Sel Score: 0.75 RTime: 1334.833 Areas: [8375213.783841503, 4912908.650718338, 2428229.2235857323, 20424968.881935418, 7117656.45399663, 9563236.154282568]",448.7439,2.0,0.020917403076703266,12ca5
"Sel Score: 0.75 RTime: 1421.76 Areas: [6796240.220483452, 6917637.060277517, 2801225.6658930816, 14914127.027063135, 14237311.131072808, 13305471.519918665]",437.7475,4.0,0.009586174801103568,12ca5
"Sel Score: 0.75 RTime: 1304.877 Areas: [5083722.672547629, 2708579.0625776597, 2627872.1212178133, 12008505.387058252, 4384630.294376548, 5155711.876107667]",438.5096,4.0,0.04344135488238312,12ca5
"Sel Score: 0.75 RTime: 1405.277 Areas: [957577.559790865, 2192809.869541922, 4170356.2648382494, 7924382.05406119, 9059153.266151378, 4329757.664092523]",433.7564,4.0,0.0005414688608695574,12ca5
"Sel Score: 0.75 RTime: 1432.372 Areas: [8034803.712115954, 4050011.151908688, 3824743.164179108, 3354290.081026171, 2606021.2911558673, 4970589.672830367]",451.499,2.0,0.0915781038544313,12ca5
"Sel Score: 0.74 RTime: 1336.873 Areas: [2640517.198792762, 5459051.072243263, 6074067.1705587935, 9972194.495939493, 14924274.188446322, 16647349.63429289]",445.7592,4.0,0.03340120416468917,12ca5
"Sel Score: 0.74 RTime: 6464.493 Areas: [4452427.52562716, 3864808.2316464134, 7048811.180131622, 6838115.495560196, 7548103.503599839, 2354486.3719128673]",1000.6792,2.0,0.12026024308689234,12ca5
"Sel Score: 0.74 RTime: 1318.107 Areas: [3320019.8776801517, 7411716.562871973, 7372820.7774100825, 4358500.010176464, 17395698.268568512, 6238476.596235654]",442.253,2.0,0.014241463751363979,12ca5
"Sel Score: 0.74 RTime: 1324.835 Areas: [7928320.809536889, 5061682.07707489, 2781544.51445082, 7792968.6369485445, 7294692.989092523, 4336441.954939721]",446.4878,2.0,0.07049984930846641,12ca5
"Sel Score: 0.74 RTime: 1427.962 Areas: [5022863.06541482, 2986624.5712095005, 6197677.656260929, 4299053.654211775, 16308860.37467705, 10493774.682784507]",438.4979,4.0,0.034015525133144216,12ca5
"Sel Score: 0.74 RTime: 1367.167 Areas: [3645992.10829735, 3475831.334796772, 2178338.599879013, 29239389.554242685, 12754653.112134604, 6485840.481517387]",437.2525,4.0,0.005985705224625136,12ca5
"Sel Score: 0.74 RTime: 7464.604 Areas: [6545142.2560127, 4488225.745132147, 2662748.123634426, 6330610.62317439, 4555161.741404383, 8689907.747847116]",553.0548,2.0,0.0012202930865754828,12ca5
"Sel Score: 0.74 RTime: 7448.883 Areas: [5088540.575849803, 1115263.6580816158, 4078900.0150823914, 3498994.658096068, 1554477.4404784446, 5603805.127937301]",553.0537,4.0,0.001220294699070077,12ca5
"Sel Score: 0.74 RTime: 1388.718 Areas: [2983125.9160617245, 16260649.809652003, 3284599.4004125893, 6590336.446615843, 8194073.127447759, 6345278.536167523]",416.243,4.0,0.04811272419637972,12ca5
"Sel Score: 0.74 RTime: 1454.624 Areas: [22173003.98522355, 12747881.793387108, 10812621.827906601, 6147375.263118013, 3762910.781705686, 10656717.466891117]",406.4824,2.0,0.06912930772376663,12ca5
"Sel Score: 0.73 RTime: 1392.164 Areas: [7627862.1601154115, 13386488.94009067, 9259719.275173318, 7890836.8497676235, 5918835.370510748, 12133255.466609674]",457.5039,2.0,0.02060620260513658,12ca5
"Sel Score: 0.73 RTime: 1364.363 Areas: [6462752.14127903, 16278330.3810444, 4948628.523966975, 19932482.785530034, 13027293.023768999, 9704737.433313726]",455.7565,4.0,0.03175229196230414,12ca5
"Sel Score: 0.73 RTime: 1300.936 Areas: [19658559.65075541, 8600988.757965842, 8590847.489228554, 11250547.278845422, 5306243.459696083, 8696741.661598893]",463.5172,2.0,0.010477574921630988,12ca5
"Sel Score: 0.73 RTime: 1410.519 Areas: [5059783.902338099, 10400501.339807931, 2363456.690875251, 9087013.778550927, 14030076.305383794, 2556633.944880708]",416.9865,2.0,0.0971887240673355,12ca5
"Sel Score: 0.73 RTime: 1424.209 Areas: [2932076.8068994544, 4679335.869302794, 3826985.265646134, 4978141.598379792, 4722806.867692993, 6759444.351422949]",437.7561,4.0,0.021152763517795114,12ca5
"Sel Score: 0.73 RTime: 1614.211 Areas: [1561248.659172716, 2648806.8748403965, 1726998.7777202078, 13717494.88858789, 9929490.279384239, 3252050.978733463]",431.9975,2.0,0.08657486929742861,12ca5
"Sel Score: 0.73 RTime: 1427.69 Areas: [3454068.9669385767, 1801487.1208126855, 3108037.3854585486, 29312905.132233486, 6940753.722015378, 5050013.222758578]",449.0115,2.0,0.10638795750739805,12ca5
"Sel Score: 0.73 RTime: 1455.499 Areas: [7526939.966339669, 4452787.101356053, 1857411.3900520965, 9369178.802842189, 6555431.495047495, 5172570.415762691]",418.7363,4.0,0.13069296560136523,12ca5
"Sel Score: 0.73 RTime: 1318.386 Areas: [1662981.3668156131, 8512925.661054064, 638142.2955180304, 12538826.120842174, 23070351.800465688, 9307439.419513553]",430.9977,4.0,0.002638089830419489,12ca5
"Sel Score: 0.73 RTime: 7083.707 Areas: [3074267.8684684443, 11136742.182897784, 6226922.78706612, 19202581.38456264, 17664792.69059362, 5729826.716946171]",434.648,2.0,0.014894233465801338,12ca5
"Sel Score: 0.73 RTime: 7227.767 Areas: [6378364.264313206, 3718551.0131009524, 5200032.443381342, 21665381.424809664, 9057459.038606297, 8987602.526748512]",649.0164,3.0,0.013196190468370507,12ca5
"Sel Score: 0.73 RTime: 1363.58 Areas: [2701880.8033524603, 6555405.866826742, 4469659.617331313, 3329703.327246957, 23427601.107985158, 11154912.803806007]",440.5102,2.0,0.08416247127444251,12ca5
"Sel Score: 0.72 RTime: 1412.486 Areas: [2428150.853737848, 10719529.619634, 2736245.2086765277, 12169745.680187544, 13059528.607246142, 4729663.401542474]",430.9901,2.0,0.06766979355448587,12ca5
"Sel Score: 0.72 RTime: 1321.707 Areas: [5550438.440683069, 3279174.4134914605, 2523249.691536649, 7750945.440392601, 5653155.050762241, 8392190.668252027]",453.2567,2.0,0.033684228078193,12ca5
"Sel Score: 0.72 RTime: 1422.751 Areas: [2234804.2205791324, 12462552.051931288, 710454.5575313853, 4535961.542447333, 9399191.048561536, 2940277.604968124]",453.0142,2.0,0.09498222807798298,12ca5
"Sel Score: 0.72 RTime: 1652.174 Areas: [4806805.424713808, 6098416.115619767, 3145149.6017108336, 7270903.869631386, 15646995.530150982, 10958937.319991384]",451.0008,2.0,0.020696122050190696,12ca5
"Sel Score: 0.72 RTime: 1414.359 Areas: [7370002.734776956, 7030600.922784154, 4423487.791168314, 3294679.609113784, 13986702.533229684, 4515864.221386805]",439.739,2.0,0.12023627647361572,12ca5
"Sel Score: 0.72 RTime: 1295.388 Areas: [6030456.309100582, 7384962.288614454, 1940561.4170972034, 5024778.285512801, 6496232.210273747, 12528693.513122642]",443.2617,4.0,0.12845512913672996,12ca5
"Sel Score: 0.72 RTime: 1554.044 Areas: [3403929.639372596, 9631679.666932927, 9752356.108225198, 17009110.332811564, 7484559.523660452, 9165940.84114518]",453.7517,4.0,0.07758692628737852,12ca5
"Sel Score: 0.72 RTime: 1336.192 Areas: [2151248.267980466, 5937931.4597404655, 5567494.125185316, 15269555.156685233, 15445185.85859222, 4695146.370292655]",416.2449,2.0,0.009436206783917926,12ca5
"Sel Score: 0.72 RTime: 1355.453 Areas: [7503271.520548191, 9975.0, 4046958.4563291576, 12006222.322488694, 18121601.79353246, 16201982.295262149]",427.2525,4.0,0.06386686776419793,12ca5
"Sel Score: 0.72 RTime: 1429.77 Areas: [1587896.397229175, 1942557.9711038268, 3263411.1564923995, 3996797.1208005846, 10281789.04605132, 3107664.384944768]",461.2642,2.0,0.07874098602941915,12ca5
"Sel Score: 0.72 RTime: 1442.501 Areas: [3354636.8524148776, 4815335.359166199, 4788895.93517828, 16133331.726831779, 16685430.352609461, 4217102.147892484]",443.9892,2.0,0.07134364468228067,12ca5
"Sel Score: 0.72 RTime: 5460.744 Areas: [12987380.828177921, 7019228.773877834, 9646134.812273217, 9766528.634498768, 2154549.8785756608, 5160543.997045022]",844.9139,2.0,0.12844300371145437,12ca5
"Sel Score: 0.72 RTime: 1356.277 Areas: [5328443.654405931, 3049621.419188949, 3265257.293801723, 23716465.307819948, 14768027.891378531, 5551063.726052122]",436.4956,4.0,0.002277720686028071,12ca5
"Sel Score: 0.72 RTime: 1683.807 Areas: [2312359.178206328, 4073921.3508506883, 5035652.416474451, 5018776.667000363, 8044186.0459881965, 3996194.293336335]",443.5105,2.0,0.13201883659396668,12ca5
"Sel Score: 0.72 RTime: 7420.939 Areas: [5142628.517897373, 824047.4444970298, 3683677.588605729, 4267866.949175289, 4210745.188831859, 3446858.571377077]",542.2993,4.0,0.07320596146793493,12ca5
"Sel Score: 0.72 RTime: 1514.168 Areas: [49314830.856713995, 42086905.996634744, 51051508.007026486, 33727642.70791707, 18299932.222257026, 27986358.298625275]",342.1951,5.0,0.02761641600177481,12ca5
"Sel Score: 0.72 RTime: 1350.983 Areas: [3905560.7007865286, 10372168.036567556, 1551811.8374135839, 12263092.045767458, 44270042.15652727, 18092386.729364894]",446.0082,2.0,0.09317483377941213,12ca5
"Sel Score: 0.72 RTime: 1430.643 Areas: [9869081.473962717, 8352994.733726593, 3652436.4234557585, 4535367.86262551, 4717645.656969406, 3025085.5504066357]",472.5093,2.0,0.09405698648408856,12ca5
"Sel Score: 0.71 RTime: 1477.648 Areas: [6639948.953870182, 3688961.506104319, 11400147.303820532, 19436139.45115165, 17710575.590494704, 7086034.881505609]",422.2405,2.0,0.08122310942534768,12ca5
"Sel Score: 0.71 RTime: 1380.905 Areas: [437264237.54768777, 515723821.3213832, 415941194.2626714, 335971468.05303323, 768365967.4240166, 228072992.64783984]",449.2495,4.0,0.11732941463824544,12ca5
"Sel Score: 0.71 RTime: 1402.242 Areas: [2712622.276096825, 3333066.697872095, 9973.0, 7160017.520703104, 4627672.917600813, 2104512.993265602]",442.5042,2.0,0.046367052085756685,12ca5
"Sel Score: 0.71 RTime: 1378.451 Areas: [4019473.3034239705, 5668232.873295461, 3688645.798468243, 9043448.484532041, 8651605.905061621, 6027468.572851202]",443.5045,4.0,0.11798656532558481,12ca5
"Sel Score: 0.71 RTime: 1428.714 Areas: [7656703.741930895, 7103948.264089766, 6297618.458774668, 9441046.616432838, 8528486.98266291, 7512706.405753202]",447.5051,4.0,0.04029143624585883,12ca5
"Sel Score: 0.71 RTime: 1441.553 Areas: [6395061.305920165, 7657301.385725768, 4685555.951438701, 14647101.70767132, 19270354.19277108, 23552138.13615076]",423.2411,2.0,0.013375645161977125,12ca5
"Sel Score: 0.71 RTime: 1297.008 Areas: [2621773.1893253713, 8189746.072432204, 3652381.2291593766, 7962903.71355485, 9682746.18074626, 11624054.687629994]",446.2531,4.0,0.0940389532279359,12ca5
"Sel Score: 0.71 RTime: 1529.236 Areas: [2366633.537194772, 3915151.211435786, 1231550.8352865812, 3112660.499128839, 8362952.036461035, 11858257.409278573]",408.2303,2.0,0.023063100196345693,12ca5
"Sel Score: 0.71 RTime: 1639.158 Areas: [1742596.7788385267, 8473354.916507002, 4048749.447756684, 17492276.881070063, 6507213.010500455, 3163313.328473314]",405.9857,2.0,0.09587446809710998,12ca5
