m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore WDR5,SelScore Intstd WDR5,Ln(Concentration-Dependent Enrichment) WDR5,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_WDR5,yint_toberemoved_WDR5,Slope_toberemoved_WDR5,Area of Beads Only Reference,SelScore Rank WDR5,SelScore Intstd Rank WDR5,Concentration-Dependent Enrichment Rank WDR5,Total Rank WDR5,Total Intstd Rank WDR5
588.822293772032,118.03073694831782,2.0,1175.6300346040641,WDR5,0.0016967488336258568,0.047086743592138366,384033.2730727062,12.718297825183031,0.9529132564078616,7771834.892268518,14.705912650608017,"((1, 128011.1672148123), (0.6, 243644.705672981), (0.3, 1009273.0005237194))",48931.38359467706,333800.1785740882,"((1, 2590610.6299343337), (0.6, 1588912.280191793), (0.3, 271232.24578356097))",48931.38359467706,2436108.9958896544,48931.38359467706,10,2779,2321,2331,5100
474.52045376891476,124.68879573250061,4.0,1894.052709195659,WDR5,0.07562563899169444,0.04989290798997507,101419.43989208921,-12.220577449779958,0.950107092010025,1931323.1677840822,12.769409297209066,"((1, 33807.74781589967), (0.6, 199697.2714201295), (0.3, 344877.61001053575))",290171.8112215561,-202922.10187640187,"((1, 644760.5677767512), (0.6, 649634.9560761509), (0.3, 87255.85059503013))",290171.8112215561,351304.72816276137,290171.8112215561,11,2845,2819,2830,5664
399.2237329691964,56.36120350432648,2.0,796.4329129983928,WDR5,0.023203821466537558,0.0502888624373962,2320189.251776657,-14.323103201699935,0.9497111375626037,43817049.47906605,15.234242699914327,"((1, 1268118.4568057873), (0.6, 6665318.399512832), (0.3, 952694.1528092126))",4190517.899270892,-1661287.0673703672,"((1, 10857043.44582893), (0.6, 4614887.990914933), (0.3, 1090771.7995098524))",4190517.899270892,4131878.4825289585,4190517.899270892,12,268,1607,1619,1875
361.19863648668223,20.114686959813074,5.0,1800.9568000834113,WDR5,0.12922879136986165,0.05059252976235626,1516655.1726154273,-11.697973701362761,0.9494074702376437,28461192.935385402,16.019401513945798,"((1, 505549.95612820535), (0.6, 2224015.590256645), (0.3, 1890562.2792720927))",1358738.471687936,-120327.6480444493,"((1, 12791203.314521177), (0.6, 4358048.447960393), (0.3, 1042858.6825782452))",1358738.471687936,9060197.835655283,1358738.471687936,13,1033,307,320,1340
421.73855955994765,33.38367260478031,2.0,841.4625661798952,WDR5,0.09608693238770585,0.05280416984364462,3313729.2894491004,12.6534654749584,0.9471958301563553,59441339.09361976,16.536930265647445,"((1, 1104577.662021872), (0.6, 2903898.435940445), (0.3, 1742164.8649459195))",1534705.2030938559,312845.73073158256,"((1, 19813776.089814797), (0.6, 7148056.8177786665), (0.3, 2853563.3133477555))",1534705.2030938559,15201889.170820795,1534705.2030938559,14,80,40,54,120
339.1841501087886,19.863038144768485,5.0,1690.884368193943,WDR5,0.019707229090464667,0.055123446832797865,738293.6446424798,13.306457715301997,0.9448765531672021,12655165.70999285,15.635132644069222,"((1, 246101.09039866613), (0.6, 826690.1856148462), (0.3, 506923.4588465825))",11920.289855637646,601064.6120454686,"((1, 6487196.092950307), (0.6, 3952497.5487448294), (0.3, 365890.9885182569))",11920.289855637646,6169526.459490582,11920.289855637646,15,2521,873,888,3394
328.58163646205827,20.557952703251633,5.0,1637.8717999602914,WDR5,0.0573593993622518,0.05959487065964984,1267010.4088879295,12.464515431355036,0.9404051293403501,19993383.226730607,15.452208954653502,"((1, 422318.34534952865), (0.6, 1759463.1056871095), (0.3, 797146.7742366683))",706113.5623899706,258982.412081599,"((1, 7277153.366951573), (0.6, 2353110.860143162), (0.3, 343176.33531046024))",706113.5623899706,5138177.2537893215,706113.5623899706,16,1817,1206,1222,3023
651.6780543597688,102.14890131689125,3.0,1952.0123336693064,WDR5,0.11107353088189093,0.0644321945651992,1031201.6842134453,-11.95883550759796,0.9355678054348009,14973245.955234379,15.405549546146439,"((1, 343731.64666759904), (0.6, 147886.3354180023), (0.3, 92419.81750437361))",361403.41143851314,-156191.09548085954,"((1, 6467313.560512246), (0.6, 1575665.3755209455), (0.3, 1282222.938025961))",361403.41143851314,4903940.120310221,361403.41143851314,17,2322,1296,1313,3618
654.8609090536107,121.34536420436602,2.0,1307.7072651672215,WDR5,0.004361834694980997,0.06513093906675806,393451.32275836443,11.734021539320416,0.934869060933242,5647476.819780527,14.338365058555508,"((1, 131149.86610914502), (0.6, 314312.9135025474), (0.3, 495791.8390759018))",151366.26037075615,124744.32721088863,"((1, 1882490.2293201927), (0.6, 1383517.1768010654), (0.3, 69691.17649548246))",151366.26037075615,1686835.8578711182,151366.26037075615,18,2823,2566,2584,5389
334.5854037772402,21.995776837061864,5.0,1667.8906365362009,WDR5,0.01683093161749058,0.06760581848703585,2547938.632979171,-14.66072417551612,0.9323941815129642,35140217.357141204,14.555570150716012,"((1, 849314.7772358506), (0.6, 2483347.5509598777), (0.3, 1557698.8802703368))",3254169.4539845386,-2328475.164611196,"((1, 7408757.780663915), (0.6, 2394599.7437412306), (0.3, 1255639.826351175))",3254169.4539845386,2096060.4207808562,3254169.4539845386,19,601,2444,2463,3045
