m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore WDR5,SelScore Intstd WDR5,Ln(Concentration-Dependent Enrichment) WDR5,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_WDR5,yint_toberemoved_WDR5,Slope_toberemoved_WDR5,Area of Beads Only Reference,SelScore Rank 12ca5,SelScore Intstd Rank 12ca5,Concentration-Dependent Enrichment Rank 12ca5,Total Rank 12ca5,Total Intstd Rank 12ca5
449.51642152186963,22.643575463093573,2.0,897.0182901037392,12ca5,0.0044676696842011416,0.8566039363904145,17963272.669838477,14.503742034903699,0.14339606360958543,3007063.6859955825,-13.794907258380142,"((1, 4631861.47895076), (0.6, 3118376.319228079), (0.3, 2287040.113631818))",2264852.5585681996,1990192.717355067,"((1, 1480266.8270018657), (0.6, 1326281.5257873323), (0.3, 2022510.8213816702))",2264852.5585681996,-979607.4982005608,2264852.5585681996,10,180,172,182,352
466.256109704252,22.617033126551593,2.0,930.497666468504,12ca5,0.1149771808963821,0.8510986050468714,20865593.89260011,14.899907587518843,0.14890139495312857,3650477.1817391636,-14.285233684158925,"((1, 6955199.263446536), (0.6, 2191816.1778380824), (0.3, 1623692.3371485642))",2351997.6966318367,2957655.9018723844,"((1, 1336490.3586670056), (0.6, 733880.759212548), (0.3, 1242091.6174064346))",2351997.6966318367,-1599551.2580579484,2351997.6966318367,11,164,138,149,302
454.76316990491955,23.163382471694344,2.0,907.511786869839,12ca5,0.031111120856381968,0.8507439952466489,29175540.372574836,14.484368051203782,0.149256004753351,5118607.497509417,-15.331218507223713,"((1, 9707082.431603609), (0.6, 4749222.53976475), (0.3, 4311363.836690583))",5799798.227212414,1952005.8662540952,"((1, 2242565.5950038075), (0.6, 1675731.4227027195), (0.3, 3900932.66195504))",5799798.227212414,-4552643.026499445,5799798.227212414,12,93,174,186,267
634.341108095078,119.84760953637469,3.0,1900.001494875234,12ca5,0.021908660333436518,0.840807732988369,4717553.195463598,13.814438947646048,0.15919226701163106,893186.3474478808,11.834635327667426,"((1, 1572517.988987474), (0.6, 140127.35373326208), (0.3, 84465.21356297794))",122887.87744808388,998928.963651068,"((1, 299172.099532259), (0.6, 181967.73631836203), (0.3, 83864.91694947408))",122887.87744808388,137948.44779836686,122887.87744808388,13,255,221,234,476
460.50875635325843,22.612512551359245,2.0,919.0029597665168,12ca5,0.08886728381912283,0.8397178224920805,22083869.967677988,15.082215772047721,0.16028217750791945,4215285.98227955,-14.922305698401596,"((1, 7361290.818824448), (0.6, 5818489.950116004), (0.3, 4821563.650489975))",3764527.072223188,3549139.62189372,"((1, 764653.5573306814), (0.6, 2549290.608017097), (0.3, 1575440.2534745808))",3764527.072223188,-3024649.2684216513,3764527.072223188,14,152,107,121,259
440.26061893449514,21.979569607006294,2.0,878.5066849289902,12ca5,0.08501021328216878,0.8349806602330165,25812452.91716916,15.506451086337485,0.16501933976698346,5101380.356485018,-14.123690071441214,"((1, 8604154.162987798), (0.6, 6931280.355610211), (0.3, 3290950.7795706666))",3097140.108804774,5424580.278273142,"((1, 1141397.6482290903), (0.6, 3118530.3623595503), (0.3, 2995598.9818977746))",3097140.108804774,-1360945.2750284174,3097140.108804774,15,123,53,68,176
443.0159312319315,23.560886118732824,2.0,884.017309523863,12ca5,0.050628173087675116,0.8325683513361694,17247672.434715405,14.753068058442267,0.16743164866383067,3468551.533004509,-14.56680950268703,"((1, 5599265.793643102), (0.6, 5330765.151807164), (0.3, 2333286.1892174776))",3049891.1101812106,2553736.294898917,"((1, 1611660.9105635167), (0.6, 681220.9170143259), (0.3, 2335865.7470678654))",3049891.1101812106,-2119751.669347835,3049891.1101812106,16,189,151,167,340
464.5082693908845,22.722838400208904,2.0,927.0019858417689,12ca5,0.023758479359538974,0.8317860037486594,18297643.799683884,14.955523045594525,0.16821399625134056,3700374.581511285,-13.034154587603343,"((1, 6099214.217174123), (0.6, 2603668.586066402), (0.3, 1267451.3511687315))",1846200.0104856996,3126807.4113571756,"((1, 1258988.3332738974), (0.6, 2020387.9097769503), (0.3, 1242569.708470231))",1846200.0104856996,-457784.84757559974,1846200.0104856996,17,178,127,144,305
435.2484399692959,22.39738617884349,2.0,868.4823269985917,12ca5,0.002673841688328302,0.8286988460180308,47870633.25206471,15.947593810111753,0.17130115398196924,9895385.70896947,14.354639672253947,"((1, 15956879.250036756), (0.6, 9842499.441977268), (0.3, 11522933.013224753))",6890661.342703772,8432415.373488955,"((1, 8976790.137125505), (0.6, 7133477.467386924), (0.3, 7738079.601119205))",6890661.342703772,1714513.066886663,6890661.342703772,18,9,16,34,25
475.2347320293241,96.03097946873889,2.0,948.4549111186482,12ca5,0.025062280593216798,0.8223958662846654,15495664.755517295,15.072672698460888,0.17760413371533446,3346434.762227118,13.028149528352209,"((1, 5165221.411465389), (0.6, 1214351.852926856), (0.3, 455861.1269352573))",491166.2588940584,3515431.018971667,"((1, 1115475.659238828), (0.6, 564694.7574966524), (0.3, 462457.5570770553))",491166.2588940584,455044.05997383903,491166.2588940584,19,201,111,130,312
