Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.95 RTime: 33.384 Area: 19813779.697873253 All areas: [897614.1565240084, 1006035.696126702, 1410079.4367983902, 16821401.3534785, 31844409.61999959, 10775528.12014166] p-value: 0.09608693238770585 original RTs: [0, 0, 0, 2003.0203562868185, 0, 0]",,(no adduct),421.7386,2.0,23,43
"Sel Score: 0.94 RTime: 19.863 Area: 4218388.569997617 All areas: [16573.07659906444, 99128.63447732116, 622591.9335660943, 5495756.928590342, 3309833.9459685395, 3849574.8354339697] p-value: 0.019707229090464667 original RTs: [0, 0, 0, 0, 1130.3086204440558, 0]",,(no adduct),339.1842,5.0,9,29
"Sel Score: 0.94 RTime: 20.558 Area: 6664461.075576869 All areas: [10252, 995555.3624426202, 261203.0464453092, 3701977.912216802, 9304332.335036466, 6987072.97947734] p-value: 0.0573593993622518 original RTs: [0, 0, 0, 0, 1172.6084029156866, 0]",,(no adduct),328.5816,5.0,10,30
"Sel Score: 0.94 RTime: 102.149 Area: 4991081.985078126 All areas: [275614.5456467592, 391493.77211004205, 364093.366456644, 8238735.616217512, 4202262.578271271, 2532247.7607455966] p-value: 0.11107353088189093 original RTs: [0, 0, 0, 0, 6139.088577894883, 0]",,(no adduct),651.6781,3.0,92,112
"Sel Score: 0.93 RTime: 121.345 Area: 1882492.2732601755 All areas: [83285.42978841065, 137879.52647387955, 172286.36649607425, 2059952.278844778, 1962921.3890163004, 1624603.1519194478] p-value: 0.004361834694980997 original RTs: [0, 0, 0, 7280.721852261961, 0, 0]",,(no adduct),654.8609,2.0,111,120
"Sel Score: 0.93 RTime: 21.996 Area: 11713405.785713734 All areas: [820569.9747740094, 1269485.8798857583, 457882.77831940306, 10625700.604190309, 9823105.851158412, 14691410.90179248] p-value: 0.01683093161749058 original RTs: [0, 0, 0, 1389.053503669744, 1173.8919505556598, 1292.2872668325651]",,(no adduct),334.5854,5.0,11,31
"Sel Score: 0.93 RTime: 39.358 Area: 3902605.8995310846 All areas: [536433.384509888, 9863, 334426.6779717107, 4130094.267683278, 3843788.269479613, 3733935.1614303626] p-value: 7.709778298567479e-05 original RTs: [0, 0, 0, 0, 2317.0018215571877, 0]",,(no adduct),381.4713,4.0,29,49
"Sel Score: 0.93 RTime: 66.052 Area: 8218356.750488033 All areas: [546668.0263799543, 792734.3453504106, 603902.695182906, 9491114.742392724, 6879249.569704487, 8284705.939366887] p-value: 0.009270029040673575 original RTs: [0, 0, 0, 3963.1349979284596, 0, 0]",,(no adduct),677.3312,3.0,56,76
"Sel Score: 0.92 RTime: 32.866 Area: 5646421.878151373 All areas: [301829.79081722733, 805375.8773973869, 333328.06987812754, 2690482.0589289134, 8608989.609892817, 5639793.965632391] p-value: 0.09286269737182111 original RTs: [0, 0, 0, 0, 1921.827399256953, 0]",,(no adduct),420.5049,2.0,22,42
"Sel Score: 0.92 RTime: 21.157 Area: 4249866.430421762 All areas: [47629.15892987836, 224985.09087340932, 850985.7028622784, 5062490.562647026, 4033168.28222297, 3653940.446395291] p-value: 0.003229005707526848 original RTs: [0, 0, 0, 1325.010382676473, 1152.69953258436, 0]",,(no adduct),322.9853,5.0,11,31
