Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.79 RTime: 22.557 Area: 5506321.160243292 All areas: [5340064.971371678, 6027725.111619102, 5151173.3977390975, 1636925.4964435678, 1651549.9036421243, 988478.9818976673] p-value: 0.0003585376509202528 original RTs: [0, 1365.4200613452563, 0, 0, 0, 0]",,(no adduct),424.7547,2.0,12,32
"Sel Score: 0.79 RTime: 22.267 Area: 7737565.800494175 All areas: [8062105.990367803, 4928420.975123676, 10222170.435991049, 1276637.341758973, 1763697.9053226642, 2980206.0996390563] p-value: 0.053309209280594134 original RTs: [0, 0, 1339.2802448153366, 0, 0, 0]",,(no adduct),455.0141,2.0,12,32
"Sel Score: 0.79 RTime: 23.616 Area: 13285910.239962438 All areas: [15914673.830808846, 10975966.094455594, 12967090.794622878, 3516493.181117189, 3374180.8947162465, 3467101.758787915] p-value: 0.02055320398857753 original RTs: [1426.9157948588895, 1396.144374873018, 1309.1461581880349, 1453.2008001864926, 1468.1998210207205, 0]",,(no adduct),447.0,2.0,13,33
"Sel Score: 0.79 RTime: 23.173 Area: 12071605.936940953 All areas: [10319737.48761176, 16855413.12196541, 9039667.201245688, 3403546.097285175, 2642164.2297118334, 3397897.4387845728] p-value: 0.0648197736478532 original RTs: [0, 1402.5004575780222, 0, 0, 0, 0]",,(no adduct),454.5016,4.0,13,33
"Sel Score: 0.79 RTime: 23.201 Area: 9119482.283989156 All areas: [8780653.367227254, 7417128.267581824, 11160665.217158388, 4305219.400388678, 1498151.2925765745, 1379489.2207564837] p-value: 0.010236802906318678 original RTs: [0, 1391.7506089050844, 1407.9323380524063, 0, 0, 0]",,(no adduct),433.0078,2.0,13,33
"Sel Score: 0.79 RTime: 22.235 Area: 4719623.561488346 All areas: [6031701.302630844, 5102352.135573429, 3024817.246260764, 1382411.9347630495, 1349770.0751747738, 994178.7679360962] p-value: 0.05698428656093171 original RTs: [0, 1345.9776885773147, 0, 0, 0, 0]",,(no adduct),415.7563,4.0,12,32
"Sel Score: 0.79 RTime: 115.714 Area: 1420431.2430065593 All areas: [1307134.4763175396, 1386775.688381627, 1567383.5643205117, 348391.5438667148, 358495.78865314944, 418259.09583805595] p-value: 0.0031919145799787292 original RTs: [0, 0, 6961.00798856295, 0, 0, 0]",,(no adduct),561.2998,3.0,105,120
"Sel Score: 0.79 RTime: 22.136 Area: 12372707.729265606 All areas: [5956440.9286812, 14622015.16724867, 16539667.09186695, 2191700.9085247153, 2804174.0208274494, 5116091.91833848] p-value: 0.1007372088799197 original RTs: [0, 0, 0, 0, 0, 1284.918036283095]",,(no adduct),454.247,2.0,12,32
"Sel Score: 0.78 RTime: 26.892 Area: 9541306.846997589 All areas: [4711943.449966988, 11068812.053851519, 12843165.03717426, 2840455.103882047, 3170937.4258286594, 1853544.6289482084] p-value: 0.1036537183908816 original RTs: [1624.6494569701654, 1625.743507838529, 0, 0, 0, 0]",,(no adduct),446.2531,4.0,16,36
"Sel Score: 0.78 RTime: 23.817 Area: 12171538.513041228 All areas: [11710801.736253988, 12585896.907500483, 12217916.89536921, 4481470.687473142, 2833060.6175530725, 2957284.3215560303] p-value: 0.0008315895942809084 original RTs: [1439.0576229921785, 0, 0, 0, 0, 0]",,(no adduct),441.5053,4.0,13,33
"Sel Score: 0.78 RTime: 22.537 Area: 9004945.596303428 All areas: [7542816.763153927, 12087832.849164097, 7384187.176592256, 2380444.323642224, 2434505.4896893157, 2796670.112714572] p-value: 0.05148154125784362 original RTs: [0, 1364.207820604059, 0, 0, 0, 0]",,(no adduct),452.2556,4.0,12,32
"Sel Score: 0.78 RTime: 117.19 Area: 5159225.424863382 All areas: [3447764.7670151, 5992014.653206521, 6037896.854368525, 1383043.1062359, 1377555.665596353, 1622306.5978928253] p-value: 0.04846580756961723 original RTs: [7061.91054309025, 7070.688584366313, 7038.765609419884, 0, 7047.192891400165, 0]",,(no adduct),554.199,2.0,107,120
"Sel Score: 0.78 RTime: 117.442 Area: 2457614.356442685 All areas: [1923875.126109352, 3120282.665455518, 2328685.277763184, 820677.6161939418, 962893.5217114103, 325392.5826416529] p-value: 0.02051505716103265 original RTs: [0, 7083.291664994394, 0, 0, 0, 0]",,(no adduct),590.6503,3.0,107,120
"Sel Score: 0.78 RTime: 27.491 Area: 4803777.686719189 All areas: [5326003.235110647, 3058926.221701548, 6026403.603345371, 767320.1871586774, 1336383.7192168068, 2033951.8458076837] p-value: 0.0466545547990517 original RTs: [0, 0, 1653.5607834876032, 0, 0, 0]",,(no adduct),444.5024,2.0,17,37
"Sel Score: 0.78 RTime: 21.917 Area: 7560724.581409891 All areas: [4669947.160669876, 9011901.272302132, 9000325.311257664, 2597048.3020683536, 851155.6191772915, 3121474.035798252] p-value: 0.04710462639788361 original RTs: [0, 0, 1318.182565832316, 0, 0, 0]",,(no adduct),461.7574,2.0,11,31
"Sel Score: 0.77 RTime: 23.428 Area: 2094261.9262810368 All areas: [3091332.432626125, 917795.7963089655, 2273657.54990802, 558502.8325282024, 1025798.8765508969, 256380.45495155908] p-value: 0.13297865526879885 original RTs: [1415.7338273677085, 0, 0, 0, 0, 0]",,(no adduct),430.0175,4.0,13,33
"Sel Score: 0.77 RTime: 26.202 Area: 5125166.443150948 All areas: [5364959.990955558, 3560897.8083982533, 6449641.53009903, 2387283.993564038, 617734.4837909165, 1574739.7191004022] p-value: 0.030261906673486896 original RTs: [0, 0, 1576.0138618270873, 0, 0, 0]",,(no adduct),461.0063,2.0,16,36
"Sel Score: 0.77 RTime: 22.34 Area: 10771808.571180893 All areas: [13703908.56038929, 8102635.655854556, 10508881.497298837, 5313305.903212477, 1548792.7677949802, 2783847.2144983364] p-value: 0.023101755329254906 original RTs: [0, 1352.318730402692, 0, 0, 0, 0]",,(no adduct),438.0054,4.0,12,32
"Sel Score: 0.77 RTime: 22.234 Area: 8087903.72412362 All areas: [8927338.131950509, 9694565.07975049, 5641807.960669865, 2296614.2559782085, 2430351.478486021, 2536575.7564452216] p-value: 0.044504044931218574 original RTs: [0, 0, 0, 0, 0, 1290.895876268828]",,(no adduct),431.5088,2.0,12,32
"Sel Score: 0.77 RTime: 123.524 Area: 1962278.8836346965 All areas: [2113982.800444201, 1784384.554206783, 1988469.2962531047, 694978.8888893626, 630782.8222921242, 480061.66805640695] p-value: 0.0006318387786640563 original RTs: [0, 0, 0, 0, 7440.220420369505, 0]",,(no adduct),542.0472,4.0,113,120
"Sel Score: 0.76 RTime: 22.713 Area: 10052702.887301102 All areas: [8343813.382203902, 13651937.346636808, 8162357.933062599, 3059331.377896877, 2703363.2213412207, 3580242.1799353] p-value: 0.05856859533130179 original RTs: [0, 1374.7767310268407, 0, 0, 0, 0]",,(no adduct),454.7451,2.0,12,32
"Sel Score: 0.76 RTime: 24.127 Area: 8648163.914378226 All areas: [6266767.034748868, 9124745.427254181, 10552979.281131627, 1271598.4392236432, 2568200.816913364, 4303211.105218603] p-value: 0.02233704693062644 original RTs: [1508.8629055259578, 1408.623243484613, 0, 0, 0, 0]",,(no adduct),458.2582,2.0,14,34
"Sel Score: 0.76 RTime: 21.828 Area: 3617500.8677147105 All areas: [3217562.6028785873, 3591335.1819329173, 4043604.8183326283, 1800685.633248781, 562656.3048802393, 1068179.0265019455] p-value: 0.006949474436402901 original RTs: [0, 0, 1312.8551201398902, 0, 0, 0]",,(no adduct),459.767,2.0,11,31
"Sel Score: 0.76 RTime: 22.294 Area: 10085057.938422894 All areas: [10599783.201220285, 7891593.20561317, 11763797.408435225, 3839388.2680622065, 2029475.221562435, 3783081.44827186] p-value: 0.012985994841314909 original RTs: [0, 1354.4730805678992, 1316.8454296708226, 0, 1297.6453599480471, 0]",,(no adduct),457.2564,2.0,12,32
"Sel Score: 0.76 RTime: 119.044 Area: 2184228.8461437696 All areas: [2230020.191992573, 2465522.192469504, 1857144.1539692315, 611863.5887723296, 860404.9027452349, 619667.9979548637] p-value: 0.0058480708869991975 original RTs: [7160.063333079948, 0, 7158.652356148698, 0, 0, 0]",,(no adduct),619.6657,3.0,109,120
"Sel Score: 0.76 RTime: 21.889 Area: 5431071.844975558 All areas: [5571233.000795992, 4334923.8046995085, 6387058.729431175, 1744077.628672198, 1195998.5834494808, 2298213.252405279] p-value: 0.011590498561300632 original RTs: [0, 0, 1316.510703289269, 0, 0, 0]",,(no adduct),445.0131,4.0,11,31
"Sel Score: 0.76 RTime: 24.301 Area: 9207714.69114695 All areas: [13872388.544072572, 4740566.028891263, 9010189.500477014, 840580.4092315958, 2848819.368427578, 5211173.500554732] p-value: 0.1266122154161362 original RTs: [0, 1470.5198713955815, 0, 0, 0, 0]",,(no adduct),433.2531,4.0,14,34
"Sel Score: 0.76 RTime: 25.447 Area: 7797847.420683361 All areas: [9698562.438607292, 5755052.520967151, 7939927.30247564, 2841765.2443390028, 2638616.2499293224, 2063200.3061483793] p-value: 0.03890118878727728 original RTs: [0, 1530.1235958692273, 1539.9207293894126, 0, 0, 0]",,(no adduct),450.0009,4.0,15,35
"Sel Score: 0.76 RTime: 23.886 Area: 14172598.495754957 All areas: [20965271.879688583, 10868039.65071813, 10684483.956858156, 4233905.554046858, 2528204.792030729, 6989871.6660808055] p-value: 0.09145207225131151 original RTs: [1443.2047499762866, 0, 0, 0, 0, 0]",,(no adduct),439.2498,4.0,13,33
"Sel Score: 0.75 RTime: 22.154 Area: 10455180.815419447 All areas: [12463922.537642967, 12628092.633846194, 6273527.2747691795, 5323199.163649026, 2672009.4383994993, 2219050.3551884717] p-value: 0.05965890862267805 original RTs: [0, 0, 1332.4362696150147, 0, 0, 0]",,(no adduct),436.5011,2.0,12,32
"Sel Score: 0.75 RTime: 124.933 Area: 2285082.544157723 All areas: [2101085.737112405, 1937138.3118941772, 2817023.583466586, 808430.0075150835, 810949.5492634303, 631360.4415777326] p-value: 0.025127498060664076 original RTs: [0, 0, 7515.6424811139395, 0, 0, 0]",,(no adduct),564.0604,4.0,114,120
"Sel Score: 0.75 RTime: 21.782 Area: 8102824.469313591 All areas: [4225625.00036557, 9121874.246686624, 10960974.160888577, 4814404.692181571, 900879.283236581, 2299097.1812173766] p-value: 0.09570152617945307 original RTs: [0, 1320.4548259411522, 1308.3451552675738, 0, 0, 0]",,(no adduct),449.0084,4.0,11,31
