Compound,m/z,z,p value,specificity,areas
Sel Score: 0.93 RTime: 1203.355,384.3857,5.0,0.09335773839354343,Unclear,"[7260581.052904929, 4373362.393096816, 2349631.5695806234, 178785.8361003835, 327437.863975449, 553937.9256120025]"
Sel Score: 0.92 RTime: 1984.661,510.278,4.0,0.15685102139059523,Unclear,"[71193821.72138663, 30457323.25252693, 16719751.697608382, 1877062.989639929, 2258477.189147826, 5740845.301926038]"
Sel Score: 0.92 RTime: 916.452,458.7214,2.0,0.013126281599766297,12ca5,"[2483702.7252713065, 1786648.4371775961, 1673600.8623672053, 324544.5396013275, 100734.11693464099, 87986.37020470927]"
Sel Score: 0.92 RTime: 779.681,555.9833,3.0,0.04990095611357325,12ca5,"[1679320.67645257, 2573858.7161951177, 1242496.2121700102, 228698.42489160068, 104954.26347243959, 157246.18010532483]"
Sel Score: 0.92 RTime: 1438.054,442.2169,3.0,0.054539946922061426,Unclear,"[26323303.764941268, 16078503.344277374, 12450755.350771852, 667172.9131222533, 1621651.600009043, 2740613.268615799]"
Sel Score: 0.91 RTime: 1506.947,384.9388,2.0,0.03194775817403716,12ca5,"[10912237.896189738, 8662582.473143104, 5774516.507930442, 547947.8077761946, 1408628.3997164613, 515338.84176886734]"
Sel Score: 0.9 RTime: 1341.587,382.2165,3.0,0.024442236601181163,12ca5,"[68123839.9960291, 50401485.92781638, 40396266.41846872, 9372520.630128639, 5402298.966384231, 3496212.81926073]"
Sel Score: 0.9 RTime: 1301.375,470.0255,4.0,0.03985779067044449,12ca5,"[84433235.68855509, 51002173.24751612, 50077956.28243013, 8532504.703382256, 6677086.351688219, 6482499.476456426]"
Sel Score: 0.89 RTime: 3943.182,941.0307,2.0,0.0021805587821769534,12ca5,"[23251947.357709453, 19413316.56483541, 18928439.60002495, 3626006.6032058354, 1921839.2476998642, 2042647.131448332]"
Sel Score: 0.89 RTime: 1515.745,406.1978,4.0,0.006743368066506552,12ca5,"[11218930.892415052, 9135472.67968213, 7585972.3106260225, 530093.1307258148, 2208568.35030809, 813489.7796462632]"
Sel Score: 0.88 RTime: 2937.429,453.2451,4.0,0.002713448963260712,12ca5,"[27143665.032412358, 27877655.114436887, 30168806.143839296, 10219.0, 3945055.044299254, 7352164.513253456]"
Sel Score: 0.87 RTime: 1262.224,395.1935,2.0,0.031154511294158586,12ca5,"[5143837.161511957, 3853515.905340005, 2934585.3040056974, 405472.4566057413, 575948.6770461804, 754573.7275458816]"
Sel Score: 0.86 RTime: 2276.059,426.2057,2.0,0.0009217563529011172,12ca5,"[35402706.12577637, 28833166.03019208, 33310578.13123871, 3359058.943801306, 5097860.982842272, 7112638.52883822]"
Sel Score: 0.86 RTime: 1705.182,410.9761,4.0,0.06781883559573787,Unclear,"[11881057.889022117, 26869121.00823929, 16540676.814586394, 4813163.625360949, 2986017.545688556, 1425850.2505626085]"
Sel Score: 0.86 RTime: 1311.141,446.9715,2.0,0.009392704689524412,12ca5,"[6739414.614615391, 4909522.9640002875, 7572244.065043407, 1840210.3220605475, 861929.2502005738, 511288.6218834766]"
Sel Score: 0.86 RTime: 2289.268,532.949,3.0,0.09014771618742959,Unclear,"[23569769.230329033, 23141870.107954767, 49063326.10166114, 5086761.050915279, 5439662.217228867, 5539290.963171178]"
Sel Score: 0.85 RTime: 2348.907,535.2891,3.0,0.052360158102969755,Unclear,"[24429163.42398838, 51186712.818013154, 37569817.902774036, 5495209.630562352, 9357723.96946003, 4941354.734667334]"
Sel Score: 0.85 RTime: 3339.073,603.3055,3.0,0.05299504843448717,Unclear,"[14069238.538751066, 11630141.782795595, 5775023.292718736, 5563974.0443601785, 10162.0, 10268.0]"
Sel Score: 0.84 RTime: 2080.309,384.2163,2.0,0.09410474289392483,Unclear,"[7897038.224455974, 18361454.01440122, 23543421.50414816, 2515694.4827587586, 1933504.7151025617, 4771155.482651931]"
Sel Score: 0.84 RTime: 3303.985,472.7463,2.0,0.009625266688890728,12ca5,"[7609589.2856158065, 8756658.196872864, 8857718.194236021, 1380318.0852327254, 3280209.646164275, 9837.0]"
Sel Score: 0.84 RTime: 1222.418,414.7213,2.0,0.3427697008270385,Unclear,"[23695977.444640566, 4689962.292504096, 2352994.4812057195, 2423121.0693532354, 2372958.773916351, 946731.1304351033]"
Sel Score: 0.84 RTime: 1451.658,440.242,4.0,0.0003796176455989396,12ca5,"[29375710.00811258, 27120687.630758114, 26710944.941906776, 7820001.277037013, 4476402.235238975, 3457230.5377964154]"
Sel Score: 0.84 RTime: 2325.057,429.2485,2.0,0.08790253443015004,Unclear,"[48116369.369679786, 21438901.389417417, 24916861.20054377, 5062696.245740581, 9233295.547400836, 3727864.1080744565]"
Sel Score: 0.84 RTime: 2964.06,411.24,2.0,0.02441253688786454,12ca5,"[11180104.961111093, 12311889.156165281, 18188072.16632238, 3744177.2103418047, 3211942.8779482692, 1099002.768004801]"
Sel Score: 0.84 RTime: 2145.936,383.2243,2.0,0.023240943342884214,12ca5,"[16208855.483562075, 10337142.124550842, 9768361.20178316, 3334339.2402177514, 3698908.505708362, 9731.0]"
Sel Score: 0.84 RTime: 2305.201,431.9853,4.0,0.34938980752075705,Unclear,"[22352241.923581664, 16841749.390934087, 136149803.94389477, 8950947.49490924, 6308500.913428563, 18820046.540670797]"
Sel Score: 0.84 RTime: 2146.616,429.715,2.0,0.06748489666254416,Unclear,"[9676520.084050694, 22463277.840275776, 13625757.738414148, 4945178.473503887, 3945646.3867831603, 9901.0]"
Sel Score: 0.84 RTime: 2518.634,437.2229,2.0,0.10251906730214781,Unclear,"[23976534.883134816, 34722865.89330928, 62155901.80111463, 6799004.255144777, 6579460.543372442, 10184372.657863744]"
Sel Score: 0.84 RTime: 1724.137,438.7076,4.0,0.010450404604018174,12ca5,"[15858268.197026249, 11555842.269571984, 16863336.519132413, 3477017.286720291, 3583327.2192448266, 1670193.179802549]"
Sel Score: 0.84 RTime: 1331.414,408.9756,4.0,0.03895654603277806,12ca5,"[6933842.168441854, 13012919.62338649, 12724653.96586341, 1408928.32932621, 1761654.7897633212, 3273532.2599692494]"
Sel Score: 0.83 RTime: 1706.509,395.9677,4.0,0.15446597934710365,Unclear,"[16751839.662545852, 6981303.134901525, 28805055.103366327, 4531348.591465383, 2145867.6598834717, 3729804.860093196]"
Sel Score: 0.83 RTime: 2273.287,511.6138,3.0,0.0012027785388453208,12ca5,"[19177477.636761777, 24276857.04770208, 20888609.52910023, 3676246.975791463, 6288797.578515843, 2816984.093630711]"
Sel Score: 0.83 RTime: 1486.459,398.4712,4.0,0.04494354698984104,12ca5,"[20148171.092406303, 22298723.33542968, 10863881.758699574, 4463250.332282769, 4836774.287308224, 1294438.9327844726]"
Sel Score: 0.83 RTime: 1275.888,426.747,2.0,0.11631370423289153,Unclear,"[10840757.311165905, 9538304.51568223, 3158251.891337618, 2044824.1692549442, 1068364.6818154044, 1602914.7514443751]"
Sel Score: 0.83 RTime: 1300.976,417.97,4.0,0.10475274268729719,Unclear,"[12568705.282828746, 7006614.208235337, 4845724.72597619, 1584902.155786947, 1360091.467603208, 1958268.2199425884]"
Sel Score: 0.83 RTime: 1351.458,452.2176,2.0,0.08240765731229133,Unclear,"[5263561.848978173, 2793293.902663597, 2458116.2673328226, 1010210.7155727143, 651538.7347158646, 453371.44713888614]"
Sel Score: 0.83 RTime: 919.435,366.9783,5.0,0.005691059767581028,12ca5,"[925976.9004753311, 931221.7705187913, 677633.8894824112, 353655.9551046857, 86526.88859287844, 71842.53603029586]"
Sel Score: 0.83 RTime: 1296.945,391.9611,4.0,0.018170741525698902,12ca5,"[9630565.790761543, 8711077.365579331, 5671976.174310895, 790108.7527156527, 1303665.5381084643, 2815295.5273569683]"
Sel Score: 0.83 RTime: 2923.774,442.2371,4.0,0.017008173574913795,12ca5,"[39135502.478576966, 30273485.839519247, 46248072.82642672, 10347500.04493978, 6868941.599473001, 6645540.631989121]"
Sel Score: 0.83 RTime: 2891.813,432.2308,4.0,0.015826014582734256,12ca5,"[16389348.21131894, 25820152.934707537, 21013520.480936244, 6423552.089858644, 3665565.420604474, 3025396.012829493]"
Sel Score: 0.83 RTime: 1943.815,420.7334,2.0,0.014377454285815893,12ca5,"[17283254.850648034, 17016186.01646903, 25170614.4390829, 1495459.735697757, 5451740.17476405, 5396510.480111685]"
Sel Score: 0.83 RTime: 5219.308,648.4476,3.0,0.16641310985382932,Unclear,"[20081850.485891353, 7012866.798376608, 7225441.370582924, 3155102.985684179, 510815.14183405665, 3533772.6645419337]"
Sel Score: 0.83 RTime: 2956.308,497.9317,3.0,0.09090782439122132,Unclear,"[14974942.553002333, 28692701.67564521, 13166542.660183603, 3182650.458229366, 4985310.352046252, 3761468.4806825817]"
