Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.96 RTime: 67.535 Area: 44435773.37192946 All areas: [49529878.10451659, 45787289.39051524, 37990152.62075654, 1466235.0672990999, 2154230.8303532605, 1732181.6620103463] p-value: 0.006150000718082151 original RTs: [4050.2946279964463, 4058.0306513153305, 4055.224057936848, 0, 0, 0]",,(no adduct),908.4286,2.0,57,77
"Sel Score: 0.96 RTime: 32.971 Area: 21894585.1092296 All areas: [15049408.038726857, 24282701.916735414, 26351645.37222652, 1117324.7734752207, 743057.1821728871, 1004335.7584052971] p-value: 0.026340865876665457 original RTs: [0, 0, 1983.1121535213279, 0, 0, 0]",,(no adduct),510.7797,4.0,22,42
"Sel Score: 0.96 RTime: 20.748 Area: 69990454.47599916 All areas: [82116426.04067954, 62828090.23641668, 65026847.150901295, 2498113.894317918, 2433796.447797416, 4360676.872887857] p-value: 0.007691795445606179 original RTs: [1219.8531200980315, 1235.0149918821203, 1248.607353660753, 0, 0, 0]",,(no adduct),498.5363,4.0,10,30
"Sel Score: 0.96 RTime: 18.659 Area: 2496254.1673446954 All areas: [2832183.5431255004, 2191915.539993173, 2464663.4189154124, 192923.33727483958, 147060.26612281773, 10044] p-value: 0.003479534626303867 original RTs: [0, 0, 1118.3567979881482, 0, 0, 0]",,(no adduct),400.5463,3.0,8,28
"Sel Score: 0.95 RTime: 69.49 Area: 38562085.96986025 All areas: [39506629.46141229, 43666967.506129384, 32512660.942039087, 4353385.695947549, 473167.9569439183, 635000.8360476666] p-value: 0.003390763708074186 original RTs: [0, 0, 4189.558934765045, 0, 0, 0]",,(no adduct),908.9304,2.0,59,79
"Sel Score: 0.95 RTime: 13.162 Area: 7155878.320654936 All areas: [8042243.8210326955, 7695858.918674074, 5729532.22225804, 595919.2843234908, 108260.16902383158, 322036.2971081669] p-value: 0.008960717819256232 original RTs: [0, 789.7268861077373, 0, 0, 0, 0]",,(no adduct),498.2659,2.0,3,23
"Sel Score: 0.95 RTime: 13.758 Area: 7155879.059978516 All areas: [8042244.829694306, 7695860.080510466, 5729532.269730777, 595919.907645068, 108260.01722084533, 322037.21816613636] p-value: 0.00896072236235638 original RTs: [813.0148546458571, 804.3253467718014, 0, 0, 0, 0]",,(no adduct),498.2649,4.0,3,23
"Sel Score: 0.95 RTime: 71.085 Area: 13037109.577781787 All areas: [15753483.581964495, 11074950.554771142, 12282894.596609727, 9824, 1464659.2283574957, 417607.0519389781] p-value: 0.007922136523431293 original RTs: [0, 4275.114786375256, 4275.82331552617, 0, 0, 0]",,(no adduct),789.8664,2.0,61,81
"Sel Score: 0.95 RTime: 68.251 Area: 39931719.00713796 All areas: [39264140.8591081, 47703883.61105451, 32827132.55125129, 4353384.461556073, 1093790.2309480656, 1291509.3687225839] p-value: 0.009539336791371351 original RTs: [0, 0, 4114.732714758974, 0, 0, 0]",,(no adduct),908.9296,2.0,58,78
"Sel Score: 0.94 RTime: 27.926 Area: 19965516.917951945 All areas: [18897010.702549867, 13842268.286293823, 27157271.765012152, 1378368.565966949, 1093580.031268164, 1163834.7077058027] p-value: 0.04019299979616725 original RTs: [0, 0, 1678.242535988857, 0, 0, 0]",,(no adduct),477.7709,2.0,17,37
"Sel Score: 0.94 RTime: 13.794 Area: 6256436.679349266 All areas: [6365200.438561605, 7125831.249259891, 5278278.350226303, 413993.46282445005, 297028.12848528964, 464107.6609806969] p-value: 0.007842157120481674 original RTs: [793.8864571552176, 0, 0, 0, 0, 0]",,(no adduct),417.4901,4.0,3,23
