RT consensus,charge,m/z,quality,362-058_12ca5_High_1,362-058_12ca5_High_2,362-058_12ca5_High_3,362-058_WDR5_High_1,362-058_WDR5_High_2,362-058_WDR5_High_3
2528.2200145469865,4,416.4800994804057,0.5999751687049866,2530.5300742387544,2566.4791009520422,2439.040510055611,2564.226411084119,2409.2640071616706,2659.7799837897214
1967.2290399885248,2,434.21813376243875,0.6001862287521362,1917.5440512817345,1979.0283484635847,2033.160262699607,1986.4518089083017,1989.0801862784433,1898.1095822994773
2191.6391948795876,4,413.972611760097,0.6049813628196716,2187.8733907403844,2153.8128106623303,2248.533362279512,2299.2045154957564,2064.017442896386,2196.3936472031587
2323.0353068954896,4,414.9712081300311,0.6065227389335632,2242.5954728247293,2336.3096176754457,2403.4309011851974,2330.7882338490153,2183.189467528114,2441.898148310434
2091.3093261709596,2,422.725484615275,0.6073017716407776,2112.974960565455,2184.703036148267,1986.1152013329643,1970.7781116230194,2111.9342362380567,2181.350411117993
2411.9842315840783,4,425.97588357759065,0.6073890924453735,2319.9385402727853,2438.463674121928,2504.979726681739,2361.5625050959297,2364.2590835837696,2482.7018597483184
1540.0396817709009,2,433.74196214382573,0.6153526306152344,1575.7934108708268,1518.3683831065198,1450.8851326256633,1489.8596989111747,1572.8618328026382,1632.4696323085827
1723.3875365825281,4,407.9670181968924,0.6199852228164673,1624.867130278074,1760.7092809283292,1865.0071913675533,1759.8293838565703,1718.9941463834182,1610.9180866812244
1649.8871674156546,4,429.2326160665625,0.6221020817756653,1693.2802403745254,1550.3849883343144,1695.0462598155914,1598.932331380254,1659.8200385134292,1701.859146075813
3215.912227827537,4,452.4793853662207,0.6231409311294556,3167.878405592611,3317.4407810025145,3170.224458687289,3103.4634423913762,3257.8369745680284,3278.6293047234058
1920.7394331434152,2,443.22908983290966,0.6250784397125244,1799.8805589557976,1974.881765285664,1808.6200798338111,1925.3486248847398,1968.1757199865267,2047.5298499139528
2061.748173277882,2,432.48649368671346,0.6251587271690369,2156.7763595418714,2085.2340101790187,1957.076546363909,1965.9560296665986,2000.1452571131551,2205.3008368027367
1885.984615567678,4,434.98119441598345,0.625333309173584,1965.48977925674,1919.1586631508071,1764.1123600916,1960.841024080839,1805.3521768563244,1900.9536899697569
1999.2972756599895,4,418.7268611054942,0.6271680593490601,2120.886226348709,1985.1367111100712,1906.0526202662143,1935.2947557181546,1977.871621556394,2070.5417189603945
1339.199241541033,2,434.74709701601836,0.6301215887069702,1415.1057754887256,1330.080796735,1322.459458356527,1462.1625700124357,1196.2542607625328,1309.1325878909768
1637.6711075708954,2,400.21348676415704,0.6317924857139587,1648.5768499285257,1482.5369731378553,1751.7090632694,1585.7209447655193,1605.06343830238,1752.419376021692
2257.719675632627,4,423.2296916560074,0.6368173360824585,2368.4679497260818,2289.039665520686,2227.499495581987,2206.4378735595014,2172.5693377690914,2282.303731638414
2837.0066272773515,2,415.9757750958999,0.6373311281204224,2817.7162348719917,2857.710727301505,2933.0640044766533,2751.6765669603856,2912.271395048451,2749.6008350051234
3359.332791967106,4,437.730198369681,0.6388247609138489,3378.5855422261507,3254.000747860436,3437.9562148008863,3406.3897565288557,3366.890175067552,3312.1743153187567
1569.3100242851642,4,415.97826921912605,0.6403818130493164,1565.8628539221202,1460.9388756828896,1556.7554964084575,1583.8981951728767,1617.7157812464322,1630.6889432782098
2559.6915386177097,4,423.4834467724674,0.6433895230293274,2648.3728219000313,2604.0603421121073,2554.30288270634,2478.759500541744,2412.6782456405303,2659.9754388055067
1985.7568920671708,2,425.72734147041314,0.6523564457893372,1917.6972669063446,2028.2045991099412,1938.860420105903,2018.0285297320254,2056.702992759533,1955.047543789278
2072.633626673739,4,416.47491756342623,0.6555467844009399,2051.3814833836686,2115.7075483932726,2136.2428251774045,2103.648553742923,2069.1311356378596,1959.690213707307
3898.4218032283375,2,454.7358204485012,0.6577135324478149,3894.7838336807254,3986.914132894874,3879.9734824206253,3889.1449087165806,3799.630435453183,3940.0840262040374
2135.0038345560165,2,446.7341068174209,0.6600262522697449,2241.5410654451202,2116.212199845434,2100.8723531495475,2030.5708584056363,2115.84956909239,2204.9769613979724
2908.19679916417,4,428.4734287496542,0.663045346736908,2805.416797907477,2893.30242126116,2910.3478492367926,2964.6581792529646,2969.945864332941,2905.509682993686
3076.416030242961,4,456.22861934151916,0.6639102697372437,2980.0155783522905,3116.7179572179057,3216.841704486091,2986.3417834578854,3097.397406048227,3061.1817518953676
2612.1871588262984,4,434.9848320019332,0.6686885952949524,2575.660800991907,2657.1466516535697,2566.1274297647974,2654.592492228289,2557.763947089085,2661.8316312301426
2162.7346129069265,2,452.2492620908386,0.6706819534301758,2185.3570801102646,2176.089596208314,2180.8464891202775,2056.9134136483553,2195.6035873815867,2181.5975109727597
1731.7213231787453,4,411.72940668349884,0.6761534810066223,1725.060358797024,1663.675755229727,1646.2217807850086,1794.634055039599,1762.2688868502237,1798.467102370889
1590.0937406286002,4,418.4734271666209,0.6826015114784241,1564.524015151484,1472.7994515006967,1653.0001242501855,1603.4362889344973,1506.7973794588402,1740.0051844758987
2195.0854785325278,4,446.9888473407848,0.6832008361816406,2148.5616136711906,2157.0353671271264,2203.803408049757,2130.113707671276,2280.6828301356004,2250.3159445402184
