Compound,m/z,z,p value,specificity
"EScore: 0.62 RTime: 1977.178 Areas: [104512427.39988844, 41310081.10730566, 20516762.346927352, 36937719.62449148, 29482079.639869004, 51229816.513938]",425.9793,2.0,0.03204253491117362,BeadsOnly
"EScore: 0.61 RTime: 4981.689 Areas: [27419078.30028761, 25723568.808577143, 23691118.450362574, 21399402.248177785, 11856187.879702298, 48852861.7474983]",730.2395,2.0,0.012167492006641701,BeadsOnly
"EScore: 0.61 RTime: 3397.346 Areas: [12052875.60503503, 16449965.87039982, 7336498.58034645, 23319359.894910462, 12527024.68429404, 18847685.8912304]",494.2448,2.0,0.03310548976697408,BeadsOnly
"EScore: 0.61 RTime: 3538.922 Areas: [27816748.749687653, 55485103.14705901, 72348901.87590775, 48621193.334381536, 35493277.80800642, 29594067.155643016]",559.6081,3.0,0.0020894571582248584,BeadsOnly
"EScore: 0.6 RTime: 3432.711 Areas: [28856361.480876908, 12963661.288989158, 37794836.27685008, 64962465.32513725, 29151558.249768585, 19640583.60832461]",577.9537,3.0,0.019552017017312538,BeadsOnly
"EScore: 0.6 RTime: 1297.871 Areas: [30193750.56336303, 60053495.00787495, 9616995.40566893, 20469333.472853784, 9987348.341342952, 33722815.50613985]",443.7497,2.0,0.03221553307472735,BeadsOnly
"EScore: 0.59 RTime: 1343.882 Areas: [26661589.770096783, 14319747.249006908, 23977940.44484529, 26445334.478499915, 43838478.86120306, 3561426.9236986246]",413.9771,4.0,0.032312818259777054,BeadsOnly
"EScore: 0.59 RTime: 4833.465 Areas: [46229743.70365347, 22670197.343065884, 102536807.8911387, 18131956.52317492, 36340050.514081165, 72656806.77720079]",970.4747,2.0,0.018769942977334635,BeadsOnly
"EScore: 0.57 RTime: 3772.477 Areas: [30453057.37664042, 24131534.873122517, 18403830.118865587, 20914410.609779045, 26375771.085460804, 31631110.399945814]",592.6437,3.0,0.03334544719313075,BeadsOnly
"EScore: 0.57 RTime: 1788.377 Areas: [26626096.283258658, 72178991.81794895, 26406821.297219522, 27771221.368334197, 19450186.12589932, 11367579.560667649]",393.7292,2.0,0.027335355497875365,BeadsOnly
"EScore: 0.57 RTime: 2468.638 Areas: [24366444.89644924, 53473489.60283082, 59338800.865426466, 22634715.53840172, 33976322.57323452, 28067632.848515533]",464.2424,2.0,0.0242229412266118,BeadsOnly
