Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"EScore: 0.98 RTime: 11.973 Area: 5769355.457439107 All areas: [5132706.033655839, 7290324.240311708, 4885036.098349772, 1.97527, 162751.48579362166, 174326.05672195225] p-value: 0.017318065651905502 original RTs: [0, 753.6282559192373, 678.8852329538985, 0, 0, 0]",,(no adduct),620.6687,3.0,3,21
"EScore: 0.98 RTime: 12.126 Area: 16290967.260956114 All areas: [15070070.515414147, 19598054.069619466, 14204777.197834734, 293418.74387799716, 414523.3079362314, 248055.52395331272] p-value: 0.01073292461419746 original RTs: [0, 753.1127559146877, 697.8424085922524, 0, 0, 0]",,(no adduct),372.8041,5.0,3,22
"EScore: 0.98 RTime: 27.286 Area: 47595367.28221789 All areas: [54163660.494003944, 48059249.11548246, 40563192.23716726, 1.5333999999999999, 1664019.4205528342, 1266448.683950588] p-value: 0.006359515561549132 original RTs: [1642.8050401700054, 0, 1605.639402755141, 0, 0, 0]",,(no adduct),636.3558,3.0,17,37
"EScore: 0.98 RTime: 14.085 Area: 6177278.659062552 All areas: [7729960.917658046, 5721152.004560057, 5080723.054969554, 119154.41253264822, 211041.07398099612, 84999.32620196314] p-value: 0.016846017693926782 original RTs: [0, 0, 841.9931322505483, 0, 0, 0]",,(no adduct),498.0142,4.0,4,24
"EScore: 0.97 RTime: 34.208 Area: 35585591.39170403 All areas: [35341695.72294517, 29746842.33472494, 41668236.11744199, 1137565.8582548974, 755287.4100193727, 1058948.4592170096] p-value: 0.009696144696199543 original RTs: [2026.9931142621926, 0, 0, 0, 0, 0]",,(no adduct),510.7798,2.0,24,44
"EScore: 0.97 RTime: 68.251 Area: 68223857.53429323 All areas: [74758601.8874423, 71374953.13731202, 58538017.57812536, 4353382.648803142, 1126354.5355542793, 1327062.7554785314] p-value: 0.004142700298341293 original RTs: [0, 0, 4114.732714602281, 0, 0, 0]",,(no adduct),908.9296,2.0,58,78
"EScore: 0.97 RTime: 67.535 Area: 77555937.02637678 All areas: [89685002.47905083, 75375101.4601108, 67607707.13996872, 1557875.901344596, 3823440.6581868413, 2629978.655981709] p-value: 0.006918925282712196 original RTs: [4050.294628032247, 4058.030651232665, 4055.2240578479514, 0, 0, 0]",,(no adduct),908.4286,2.0,57,77
"EScore: 0.97 RTime: 70.042 Area: 4046103.4007938225 All areas: [3268545.205366552, 5002477.617524911, 3867287.379490005, 1.54882, 1.10093, 425038.4316384162] p-value: 0.011792172120297002 original RTs: [0, 4202.533285318127, 0, 0, 0, 0]",,(no adduct),735.5648,3.0,60,80
"EScore: 0.97 RTime: 69.49 Area: 67589947.40649445 All areas: [74600366.81644957, 72644485.66989148, 55524989.733142294, 4353378.74577439, 1460473.9750591745, 1454527.9170841787] p-value: 0.007355512403035405 original RTs: [0, 0, 4189.558933546671, 0, 0, 0]",,(no adduct),908.9304,2.0,59,79
"EScore: 0.96 RTime: 20.748 Area: 70636942.929958 All areas: [82485407.4428238, 63929110.00011431, 65496311.34693593, 2523723.989029055, 2433795.09641511, 4340825.358636519] p-value: 0.007154934523915687 original RTs: [1219.8531200975965, 1235.0149918821203, 1248.6073536599174, 0, 0, 0]",,(no adduct),498.5363,4.0,10,30
"EScore: 0.96 RTime: 26.695 Area: 36404411.84850935 All areas: [44350815.47727917, 37668856.00005316, 27193564.068195734, 1405697.8181637847, 2033437.1432247346, 1647235.5170894065] p-value: 0.019957976380021083 original RTs: [0, 1607.3530453506569, 1598.1711389855536, 0, 0, 0]",,(no adduct),477.7694,4.0,16,36
"EScore: 0.95 RTime: 71.085 Area: 13472707.80009198 All areas: [16659719.727240343, 11294582.42672205, 12463821.246313546, 1.74549, 1464654.3005849994, 443332.1135348728] p-value: 0.011443422728473302 original RTs: [0, 4275.114786323919, 4275.823315554905, 0, 0, 0]",,(no adduct),789.8664,2.0,61,81
"EScore: 0.95 RTime: 13.162 Area: 7155878.959727809 All areas: [8042244.422315563, 7695859.853627923, 5729532.603239942, 602126.1907759028, 108260.18637021395, 322039.60684467835] p-value: 0.0089195463024296 original RTs: [0, 789.7268860935502, 0, 0, 0, 0]",,(no adduct),498.2659,2.0,3,23
"EScore: 0.95 RTime: 13.758 Area: 7155879.572331108 All areas: [8042244.982210721, 7695860.704212186, 5729533.030570416, 602126.03706241, 108259.6538268268, 322040.71963085496] p-value: 0.008919545693309106 original RTs: [813.0148546458572, 804.3253467718014, 0, 0, 0, 0]",,(no adduct),498.2649,4.0,3,23
"EScore: 0.95 RTime: 18.659 Area: 2543821.3334101415 All areas: [2832183.7093387824, 2293006.6596891857, 2506273.6312024565, 197568.69112501942, 186740.94298273325, 1.9684] p-value: 0.0013988250267675047 original RTs: [0, 0, 1118.3567979891927, 0, 0, 0]",,(no adduct),400.5463,3.0,8,28
"EScore: 0.95 RTime: 33.078 Area: 84027075.38261329 All areas: [116138916.49480368, 81414212.65000992, 54528097.00302628, 1877378.4794163, 5198396.168985371, 5740838.350365661] p-value: 0.04595595568604052 original RTs: [0, 2034.004267843009, 1939.8457917229127, 0, 0, 0]",,(no adduct),510.278,4.0,23,43
"EScore: 0.94 RTime: 13.794 Area: 6554848.0494118715 All areas: [7260435.0142362565, 7125831.4174815165, 5278277.716517844, 421725.2334784586, 297028.9402339156, 464107.7435110116] p-value: 0.010250280222175962 original RTs: [793.8864570791989, 0, 0, 0, 0, 0]",,(no adduct),417.4901,4.0,3,23
"EScore: 0.94 RTime: 20.835 Area: 12782500.984659085 All areas: [15034429.80260663, 10419867.469498487, 12893205.681872142, 1531359.3016470268, 754336.708371239, 297226.71279911586] p-value: 0.008557364107106374 original RTs: [1219.030241355826, 0, 1250.0286889732217, 0, 0, 0]",,(no adduct),399.0307,5.0,10,30
"EScore: 0.92 RTime: 15.274 Area: 1981315.4130730217 All areas: [2483701.133436688, 1786646.9258972856, 1673598.179885091, 330592.7662326017, 105990.65292447797, 90270.95039702744] p-value: 0.013109010385963753 original RTs: [0, 916.4518296617114, 0, 0, 0, 0]",,(no adduct),458.7214,2.0,5,25
"EScore: 0.92 RTime: 12.995 Area: 1831891.2904511236 All areas: [1679320.2630161105, 2573859.120129527, 1242494.4882077337, 233019.10654971155, 106744.533217815, 157249.27642404157] p-value: 0.049966142862944325 original RTs: [0, 779.6807602003278, 0, 0, 0, 0]",,(no adduct),555.9833,3.0,3,22
"EScore: 0.91 RTime: 25.116 Area: 8676159.28603421 All areas: [11253252.509388827, 8965321.42412014, 5809903.924593663, 596748.2606885753, 1519741.5351859648, 555202.4872003873] p-value: 0.034438873312992745 original RTs: [0, 0, 1508.4732632963266, 0, 0, 0]",,(no adduct),384.9388,2.0,15,35
"EScore: 0.9 RTime: 22.36 Area: 53822841.229045056 All areas: [68627451.17107762, 51243068.30716431, 41598004.20889322, 9372515.766911192, 5402302.061542075, 3496221.784610106] p-value: 0.022188031508884376 original RTs: [1322.6915936241608, 1327.8422364190733, 1344.3804526839313, 0, 0, 0]",,(no adduct),382.2165,3.0,12,32
"EScore: 0.9 RTime: 21.69 Area: 62786351.41663861 All areas: [84572789.3651733, 52349881.672492586, 51436383.21224998, 8532502.544766707, 6677089.412886027, 6553082.933449157] p-value: 0.03601428209295854 original RTs: [1278.0617966443622, 1287.3228096551466, 1308.3434138742473, 0, 0, 0]",,(no adduct),470.0255,4.0,11,31
"EScore: 0.89 RTime: 65.72 Area: 21251236.34683938 All areas: [23779908.628172524, 19878734.431124747, 20095065.981220864, 3626021.729502277, 1954895.4438813769, 2084788.3908018507] p-value: 0.0014616399558855693 original RTs: [0, 3943.181721419264, 0, 0, 0, 0]",,(no adduct),941.0307,2.0,55,75
"EScore: 0.88 RTime: 21.037 Area: 4251468.671907521 All areas: [5143834.124704036, 3764166.416376978, 3846405.474641548, 441041.15832341556, 575950.4529584695, 754571.5472975213] p-value: 0.01197520434400711 original RTs: [1231.3789760141851, 0, 0, 0, 0, 0]",,(no adduct),395.1935,2.0,11,31
"EScore: 0.87 RTime: 28.628 Area: 19069239.831421915 All areas: [22027622.406089146, 13806089.721862415, 21374007.366314188, 1260041.291166177, 4599836.624437619, 2768597.3392006624] p-value: 0.016364219192491217 original RTs: [1704.579604716524, 1703.0797007727315, 0, 0, 0, 0]",,(no adduct),432.7155,4.0,18,38
"EScore: 0.86 RTime: 33.951 Area: 18422155.469083846 All areas: [16961285.89789643, 17600879.607175875, 20704300.902179226, 1.63025, 5686382.872651262, 2941265.9301160425] p-value: 0.0023003406953041663 original RTs: [0, 2037.0812204490012, 0, 0, 0, 0]",,(no adduct),531.6102,3.0,23,43
"EScore: 0.85 RTime: 56.395 Area: 42311144.87406487 All areas: [50290966.076949224, 38898680.57505444, 37743787.97019096, 8075915.590226631, 6869217.025043797, 7054326.568871795] p-value: 0.012285105142579451 original RTs: [0, 0, 0, 0, 3399.87127978983, 0]",,(no adduct),465.2455,2.0,46,66
"EScore: 0.85 RTime: 55.651 Area: 11325510.782828523 All areas: [14069237.022828197, 11630139.843799116, 8277155.481858251, 5965978.164353142, 1.85829, 1.90469] p-value: 0.02411461501131036 original RTs: [3366.765980281239, 0, 3308.917403298251, 0, 0, 0]",,(no adduct),603.3055,3.0,45,65
"EScore: 0.84 RTime: 25.262 Area: 9661218.255460685 All areas: [11642141.273972113, 9428652.152746942, 7912861.339663, 1287626.941431484, 3097815.1353237596, 1192068.538828418] p-value: 0.006903823203803463 original RTs: [0, 1507.8145579419229, 1525.3183869942243, 0, 0, 0]",,(no adduct),406.1978,4.0,15,35
"EScore: 0.83 RTime: 34.712 Area: 79675216.34084092 All areas: [66697720.120516695, 100935685.3746923, 71392243.52731377, 19973680.132977795, 12166857.029907133, 15240892.187136581] p-value: 0.023003596991489822 original RTs: [0, 0, 2088.2873196411615, 0, 0, 0]",,(no adduct),409.2299,4.0,24,44
"EScore: 0.83 RTime: 27.641 Area: 21404651.625325013 All areas: [26179968.49746874, 24262936.474719185, 13771049.90378712, 5231872.235931019, 4286414.9419990545, 3444833.301405675] p-value: 0.04517107977180889 original RTs: [0, 1658.4751894492065, 0, 0, 0, 0]",,(no adduct),415.717,2.0,17,37
"EScore: 0.83 RTime: 41.553 Area: 26822677.624348883 All areas: [30591461.253770504, 21942904.49156951, 27933667.127706636, 6954287.098761405, 3667325.8685131744, 6099046.213754568] p-value: 0.007458288708255484 original RTs: [0, 0, 0, 0, 2493.899289429685, 0]",,(no adduct),546.9704,3.0,31,51
"EScore: 0.83 RTime: 15.324 Area: 844944.7777142114 All areas: [925977.1100202374, 931222.0107065595, 677635.2124158372, 360585.5445292602, 99148.504400194, 71842.87464846244] p-value: 0.0059628531478105136 original RTs: [0, 919.4352251188357, 0, 0, 0, 0]",,(no adduct),366.9783,5.0,5,25
"EScore: 0.82 RTime: 21.766 Area: 8732774.634985555 All areas: [10678160.967324218, 9461964.916102782, 6058198.021529662, 930800.7027297935, 1272984.567632276, 3461743.5130413054] p-value: 0.020529651680489387 original RTs: [1275.43695764626, 0, 0, 0, 0, 0]",,(no adduct),391.9606,2.0,11,31
"EScore: 0.82 RTime: 39.921 Area: 66015625.21387776 All areas: [82931993.09392044, 47868365.896688454, 67246516.65102436, 20595790.713131476, 13786862.029698087, 8691008.646801388] p-value: 0.026474629358073917 original RTs: [2338.5608727959384, 0, 2300.17320179455, 0, 2419.9997267641475, 2498.6294079317518]",,(no adduct),426.9909,4.0,29,49
"EScore: 0.82 RTime: 41.127 Area: 66689342.84186671 All areas: [74202121.6798608, 42717460.07557572, 83148446.77016361, 10194931.953568913, 17499294.769482903, 15857617.32709666] p-value: 0.04708453862669073 original RTs: [2378.928792254915, 0, 0, 2666.45304034773, 2504.821990602099, 2352.866374412037]",,(no adduct),400.2244,4.0,31,51
