Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"EScore: 0.68 RTime: 32.38 Area: 9188643.459013974 All areas: [3440902.344582721, 3419805.8240714883, 5914529.955983402, 9175499.832287429, 10719343.480531242, 7671087.064223256] p-value: 0.015209098963133955 original RTs: [0, 0, 1947.3531646670283, 0, 0, 0]",,(no adduct),339.7916,5.0,22,42
"EScore: 0.68 RTime: 66.886 Area: 11065115.394044062 All areas: [4727270.852637711, 5477784.356199113, 5470235.252514542, 10038339.535038674, 12300840.410939675, 10856166.236153832] p-value: 0.006570868467754024 original RTs: [0, 0, 0, 0, 4044.600053153065, 4021.0600124045045]",,(no adduct),610.9708,3.0,56,76
"EScore: 0.68 RTime: 24.81 Area: 14412037.72193773 All areas: [6710237.290889842, 6669074.03724403, 7404294.719432999, 17535456.597024363, 14000228.769822733, 11700427.798966091] p-value: 0.04533460211364309 original RTs: [0, 1483.7085795130479, 1615.8391602975055, 0, 1349.688250736396, 0]",,(no adduct),431.4942,2.0,14,34
"EScore: 0.67 RTime: 74.023 Area: 3050658.95337216 All areas: [1642820.2368694493, 1079343.8982554805, 1707820.610277598, 2822810.687698059, 2815894.369967066, 3513271.8024513554] p-value: 0.007131835148193667 original RTs: [0, 0, 4463.446648936972, 0, 0, 0]",,(no adduct),572.2889,3.0,64,84
"EScore: 0.67 RTime: 45.494 Area: 62367600.175805666 All areas: [39470758.888891235, 33854076.6559181, 18436403.960773807, 72903459.98384914, 61840266.46271069, 52359074.08085714] p-value: 0.021418963817964952 original RTs: [0, 0, 0, 0, 0, 2725.574680613265]",,(no adduct),426.4795,4.0,35,55
"EScore: 0.67 RTime: 63.028 Area: 10429936.14089682 All areas: [6726047.989462579, 3580729.7660983014, 5389010.666602867, 10715103.246901818, 8573991.418018537, 12000713.757770108] p-value: 0.018702620593597254 original RTs: [0, 0, 3799.126397426372, 0, 0, 0]",,(no adduct),575.3178,3.0,53,73
"EScore: 0.66 RTime: 43.947 Area: 31667503.338235546 All areas: [15238196.154162006, 14523798.327412019, 19370161.527952474, 26349183.93502193, 36903138.06130444, 31750188.018380277] p-value: 0.021640053636297934 original RTs: [0, 2626.1403814323553, 0, 0, 0, 2642.4180891494393]",,(no adduct),450.9935,2.0,33,53
"EScore: 0.66 RTime: 39.093 Area: 43239909.817718305 All areas: [21529676.95954505, 23068036.20693734, 23444862.483030513, 40200398.67365338, 41785737.23624723, 47733593.54325432] p-value: 0.008818323519995288 original RTs: [0, 0, 0, 0, 0, 2336.6994035950684]",,(no adduct),437.7179,2.0,29,49
"EScore: 0.64 RTime: 67.765 Area: 6466552.535793706 All areas: [3324528.576134439, 4542467.763804455, 2863011.058849085, 6118239.49283227, 6321289.625228316, 6960128.4893205315] p-value: 0.014664201561020286 original RTs: [0, 0, 0, 0, 0, 4078.7556275964002]",,(no adduct),600.99,3.0,57,77
"EScore: 0.64 RTime: 56.063 Area: 10167764.626342513 All areas: [5948379.711059391, 3560135.2168825483, 7363854.212783009, 11299177.084691482, 9925044.887010276, 9279071.907325782] p-value: 0.03534229711472121 original RTs: [3367.2695261310555, 0, 0, 0, 3359.31378068989, 0]",,(no adduct),456.7416,2.0,46,66
"EScore: 0.64 RTime: 40.32 Area: 45919920.93628349 All areas: [17844430.313916873, 33130245.985045195, 26065690.167085294, 50515670.68266259, 36917305.315870725, 50326786.810317144] p-value: 0.032627354523925726 original RTs: [0, 2415.464551874812, 0, 0, 0, 2414.9965007446535]",,(no adduct),426.4691,4.0,30,50
"EScore: 0.64 RTime: 56.515 Area: 9915994.888931539 All areas: [5108048.188805855, 6323414.45198465, 5231652.190755588, 10007259.218583696, 9594530.89039768, 10146194.557813238] p-value: 0.002925311458799042 original RTs: [0, 0, 3405.6530886682754, 0, 0, 0]",,(no adduct),470.2509,2.0,46,66
"EScore: 0.64 RTime: 52.73 Area: 9054676.199371204 All areas: [6051760.446147638, 4645687.158800383, 4766429.325351694, 8932788.003818879, 7843475.154135635, 10387765.4401591] p-value: 0.01639804619416441 original RTs: [0, 0, 0, 0, 3176.1675164483754, 0]",,(no adduct),466.9797,2.0,42,62
"EScore: 0.63 RTime: 18.57 Area: 2347813.045946882 All areas: [1353186.8355731359, 1414590.3216539242, 1371622.262273864, 2349324.21757066, 2277884.733714708, 2416230.1865552785] p-value: 0.0003207930673721205 original RTs: [0, 0, 1112.9499756248645, 0, 0, 0]",,(no adduct),336.1903,5.0,8,28
"EScore: 0.63 RTime: 35.523 Area: 44441357.91916507 All areas: [27421986.081630453, 28898651.047812875, 22274535.614587206, 39145255.67771253, 44700448.78796286, 49478369.2918198] p-value: 0.01008376812595573 original RTs: [0, 0, 2137.2608184874384, 0, 0, 0]",,(no adduct),407.23,4.0,25,45
"EScore: 0.62 RTime: 54.076 Area: 11290610.30985953 All areas: [5479749.555901046, 6550910.225173375, 8548212.566129379, 11377882.1230135, 13311081.798996085, 9182867.007568998] p-value: 0.045229726176648076 original RTs: [0, 0, 0, 0, 3258.355190428919, 0]",,(no adduct),439.2465,4.0,44,64
"EScore: 0.62 RTime: 32.635 Area: 6942086.184337207 All areas: [2977097.986825233, 5152759.86760244, 4548703.540612238, 6233286.199026325, 8042378.654017445, 6550593.699967854] p-value: 0.03474143936732728 original RTs: [0, 1958.0886412357231, 0, 0, 0, 0]",,(no adduct),338.1815,5.0,22,42
"EScore: 0.62 RTime: 68.495 Area: 7288741.098882861 All areas: [4619190.5653022425, 4757966.137918545, 4137728.0424000607, 7523956.366483451, 6703219.025756797, 7639047.904408337] p-value: 0.0025968614485919507 original RTs: [0, 0, 0, 0, 4138.483504631095, 0]",,(no adduct),585.6445,3.0,58,78
"EScore: 0.62 RTime: 32.953 Area: 34254535.84997385 All areas: [20597721.615385782, 18719805.502816353, 24919456.462504517, 31474402.59464267, 40377320.28457445, 30911884.670704443] p-value: 0.03204253491117362 original RTs: [1849.0167570605547, 0, 0, 0, 2027.8021752131751, 2007.8097639977252]",,(no adduct),425.9793,2.0,22,42
"EScore: 0.61 RTime: 83.028 Area: 41310662.85069769 All areas: [27813961.417494833, 29933432.111768577, 21540120.237806067, 43346338.1821149, 43833275.71699975, 36752374.65297842] p-value: 0.012167492006641701 original RTs: [0, 0, 0, 5030.380831550607, 0, 0]",,(no adduct),730.2395,2.0,73,93
"EScore: 0.61 RTime: 56.622 Area: 5800720.769677612 All areas: [4582631.644955883, 3498169.225232167, 3219581.8335271906, 5622001.837671156, 5977434.972272523, 5802725.499089156] p-value: 0.03310548976697408 original RTs: [3388.9045685520628, 0, 3404.1375858852693, 0, 0, 0]",,(no adduct),494.2448,2.0,46,66
"EScore: 0.61 RTime: 58.982 Area: 16897899.22394137 All areas: [10919773.10105335, 11625539.381176777, 10446694.818522086, 16185991.677805332, 16485990.542032594, 18021715.451986186] p-value: 0.0020894571582248584 original RTs: [0, 3597.716813568988, 0, 0, 3497.9850692318914, 0]",,(no adduct),559.6081,3.0,48,68
"EScore: 0.6 RTime: 57.212 Area: 16224413.864131799 All areas: [10995510.168370107, 8702271.815755425, 12182787.633501608, 14137242.675544135, 17700760.318856888, 16835238.597994376] p-value: 0.019552017017312538 original RTs: [3416.5330467033773, 0, 0, 0, 0, 0]",,(no adduct),577.9537,3.0,47,67
