Compound,m/z,z,p value,specificity
"EScore: 0.76 RTime: 1693.224 Areas: [28160421.097786624, 23702993.691210162, 61758182.94895917, 33409010.62070843, 28545837.13475443, 21492381.784009293]",437.2137,2.0,0.003851317483951699,12ca5
"EScore: 0.76 RTime: 1261.564 Areas: [28877948.383776553, 20894704.29950148, 29034669.002625193, 18260633.42910865, 18164743.951189794, 30938521.8911901]",402.2187,4.0,0.005435359295872042,12ca5
"EScore: 0.76 RTime: 1865.685 Areas: [14059970.926514613, 23128193.001908425, 39086068.10738017, 44430664.08533945, 6400449.042287153, 10670503.889386129]",417.9811,2.0,0.001627993586676629,12ca5
"EScore: 0.76 RTime: 2355.811 Areas: [46153403.60522823, 100644489.95950073, 68844675.99300106, 51550914.981507905, 26095364.730629675, 45416574.280181885]",526.2833,3.0,0.0023257829257695827,12ca5
"EScore: 0.76 RTime: 2235.135 Areas: [16862708.695076, 7055863.362972599, 6802799.733054879, 8986028.69679073, 2584986.3012889065, 3782444.390110411]",397.9694,4.0,0.00159944217251872,12ca5
"EScore: 0.76 RTime: 1172.251 Areas: [32364887.807657763, 13006105.52330362, 6500517.449396067, 4942074.126495192, 13644236.376481676, 7059991.7009577]",435.9857,2.0,0.04239010118510348,12ca5
"EScore: 0.76 RTime: 2794.676 Areas: [41655766.472164884, 39950639.976387285, 62139454.28018521, 16986563.245881, 26801599.54729677, 39002477.15842843]",522.964,3.0,0.0346655429920735,12ca5
"EScore: 0.76 RTime: 1514.058 Areas: [24498135.14254355, 27969944.611221272, 28995201.028020214, 9403261.112409735, 21390855.788660754, 16859703.073815227]",419.4727,4.0,0.02083577380310358,12ca5
"EScore: 0.76 RTime: 2433.726 Areas: [22517304.83476265, 24588225.093166795, 41263504.47479739, 20964806.15046642, 27360491.761687595, 30739844.65135488]",555.9536,3.0,0.012120893655548302,12ca5
"EScore: 0.76 RTime: 2707.811 Areas: [58331132.461604424, 76827963.01098104, 57206294.97621629, 61216321.95470211, 21392830.022504322, 19628350.572518904]",521.607,3.0,0.018322338333543294,12ca5
"EScore: 0.76 RTime: 1961.817 Areas: [34973852.71692635, 51594738.749619715, 39403643.41789531, 26603383.330787696, 16729237.463399768, 15293050.714517517]",443.2372,4.0,0.010585994613488657,12ca5
