Compound,m/z,z,p value,specificity,areas
EScore: 0.81 RTime: 2065.761,449.0069,4.0,0.0882730485417155,Unclear,"[24307892.502100643, 10641531.70628038, 13973600.987495001, 4181665.8125866787, 5010129.905399157, 2257121.815459417]"
EScore: 0.81 RTime: 1403.375,439.2079,2.0,0.007499376312452948,12ca5,"[3493174.7592836083, 4242147.593639762, 5072753.535866891, 274490.71157553047, 1875109.6457236963, 856728.970154933]"
EScore: 0.81 RTime: 1123.171,427.2423,4.0,0.06099162417269921,Unclear,"[7081388.31668586, 3297455.571689388, 4550491.367540244, 2010220.679515094, 1011203.2918196085, 519118.1173651514]"
EScore: 0.81 RTime: 1381.146,407.4838,2.0,0.13544141351417338,Unclear,"[14917196.99936985, 19067897.419361368, 4923743.9812723575, 2407998.005349039, 1685707.539864656, 5147994.898283476]"
EScore: 0.81 RTime: 1481.18,411.7328,4.0,0.08438646248595306,Unclear,"[22271623.92226276, 15177192.24336846, 8329036.450542157, 1.25416, 4911517.45567182, 6005657.431893211]"
EScore: 0.81 RTime: 1649.168,427.4766,4.0,0.0507919726514078,Unclear,"[36614085.12701793, 32619337.40646336, 19012546.01792708, 7670410.091892395, 7640524.943983302, 5878263.839301066]"
EScore: 0.81 RTime: 1773.873,436.4986,2.0,0.1282985720545957,Unclear,"[31176598.074624013, 24758068.53659814, 8825682.884850482, 7399137.18907292, 4789209.605618619, 3378561.7830892457]"
EScore: 0.81 RTime: 2610.636,436.7359,2.0,0.23381937022034036,Unclear,"[79679713.7903852, 132999162.39821048, 14836484.438238217, 18378055.096755814, 20638813.100725666, 15764132.27627934]"
EScore: 0.81 RTime: 1706.056,410.9761,4.0,0.06892055381076367,Unclear,"[19113561.12846785, 26869123.322756227, 40143544.31757351, 6727165.397071888, 5705335.340826201, 8332448.896781817]"
EScore: 0.81 RTime: 2156.996,424.7469,2.0,0.1437807904855022,Unclear,"[24342350.431879364, 75030393.12200882, 39282358.462574996, 8148215.227401103, 13154151.74252851, 12251946.460299749]"
EScore: 0.8 RTime: 1757.106,438.7072,2.0,0.0074997424304776876,12ca5,"[16802173.991227094, 11983893.012037957, 15761767.417044783, 2418670.7747428473, 3640873.952354638, 4732367.423775219]"
EScore: 0.8 RTime: 1451.658,440.242,4.0,0.0004924069549664865,12ca5,"[32980544.986679755, 32554007.671213277, 28624238.320904493, 10265494.393823713, 4472999.371867582, 8078939.623074676]"
EScore: 0.8 RTime: 1644.944,416.7143,2.0,0.08745827938756368,Unclear,"[33348464.529811084, 19699381.868341528, 14940557.211008955, 6177772.715487105, 6208268.588077022, 4124337.575876496]"
EScore: 0.8 RTime: 2196.522,465.4854,4.0,0.013150820420664618,12ca5,"[15304349.656487811, 10130571.655681182, 15220797.182166263, 5689009.5881649675, 1.05674, 4189199.914077699]"
EScore: 0.8 RTime: 2913.436,550.6226,3.0,0.1403344811582244,Unclear,"[137321464.28977954, 45281021.005214244, 72760163.4198568, 19258032.387301754, 27771241.279502638, 15547766.53270959]"
EScore: 0.8 RTime: 2938.889,453.2451,4.0,0.08614213382365662,Unclear,"[27143668.10729232, 59736479.16648474, 30168806.004656386, 1.49079, 8947549.462374728, 19740622.221847717]"
EScore: 0.8 RTime: 1702.697,441.7435,4.0,0.002744656709132636,12ca5,"[28664804.139247496, 34891182.07034944, 27552388.66315851, 8636918.057640111, 4972123.828040973, 8758540.414631369]"
EScore: 0.8 RTime: 1610.52,421.9666,2.0,0.08680398805709501,Unclear,"[10815629.98015409, 19109439.25167104, 26399938.402034927, 3827139.2265629917, 5146711.477448258, 4872927.592761538]"
EScore: 0.8 RTime: 2821.742,567.2909,3.0,0.1901545342490675,Unclear,"[101021021.75593427, 57024583.067711174, 21014275.495986044, 19223053.24438594, 13572915.12495609, 11321295.915522916]"
EScore: 0.8 RTime: 2256.72,446.475,2.0,0.1238598212785771,Unclear,"[62193333.739022024, 19364620.036654994, 59888075.86660092, 15131892.36835122, 9969858.278093612, 10156552.544519624]"
EScore: 0.8 RTime: 2986.279,516.6172,3.0,0.09126731985560518,Unclear,"[25248425.314349715, 49666477.50397287, 64113471.90133543, 13052203.629573982, 10936287.579959169, 10692861.490119638]"
EScore: 0.8 RTime: 1114.889,407.9704,4.0,0.10430106314465941,Unclear,"[4946834.594845078, 2859570.9089524155, 1921926.7749944993, 391996.76866904716, 1203385.9196300071, 832990.0854463981]"
EScore: 0.8 RTime: 2135.327,445.7275,4.0,0.00151302170513623,12ca5,"[49094345.29419434, 54091861.78094438, 45097482.44660513, 14615752.336209642, 11442053.969820525, 10999389.268008478]"
EScore: 0.8 RTime: 2156.511,537.6262,3.0,0.039943437429763154,12ca5,"[25141305.638134085, 23274830.383599106, 37716136.442008525, 7491934.600884521, 6131003.5550495805, 7913891.258804281]"
EScore: 0.8 RTime: 2566.149,558.6098,3.0,0.22228992366206243,Unclear,"[18824238.693719655, 63060270.97645432, 20039456.701414667, 7518969.593628122, 8545848.387067854, 9542490.722932851]"
EScore: 0.8 RTime: 3537.227,543.9484,3.0,0.09801886390433197,Unclear,"[23615011.52933023, 20513419.75256169, 45581245.31871767, 10820808.39979683, 7367441.099985781, 4382931.38144178]"
EScore: 0.8 RTime: 1488.449,416.7089,2.0,0.33487149427958457,Unclear,"[26147093.48396831, 4167033.3874891917, 5556671.6394524565, 1766480.4783187152, 2779708.562124976, 4492773.286259221]"
EScore: 0.8 RTime: 2493.268,553.6198,3.0,0.2037786700393738,Unclear,"[80923795.08518644, 19773863.67090879, 35122721.1883177, 8014350.387037503, 7885287.719489049, 18533855.933681406]"
EScore: 0.8 RTime: 2287.747,442.7272,2.0,0.03819177563822691,12ca5,"[48910423.181601375, 70675797.21936901, 41601066.48509638, 13370377.178750055, 10192537.513938371, 17358521.73925242]"
EScore: 0.8 RTime: 1351.458,452.2176,2.0,0.09349711896982284,Unclear,"[5263556.072526386, 2793291.5817353763, 2458124.004622318, 1193185.8355250994, 651534.0488927462, 825327.4212092872]"
EScore: 0.8 RTime: 1413.947,443.2472,2.0,0.16316928090639132,Unclear,"[26709559.743188508, 10489287.039046118, 9679213.097568104, 1330356.2293775245, 6546567.81781778, 4030359.925578359]"
