m/z,RT (min),z,Obs Mass,Specificity,P-value,Escore 12ca5,Escore Norm 12ca5,Ln(Fold Change) 12ca5,Escore Rank 12ca5,Escore Norm Rank 12ca5,Fold Change Rank 12ca5,Total Rank 12ca5,Total Norm Rank 12ca5,Escore BeadsOnly,Escore Norm BeadsOnly,Ln(Fold Change) BeadsOnly,Escore Rank BeadsOnly,Escore Norm Rank BeadsOnly,Fold Change Rank BeadsOnly,Total Rank BeadsOnly,Total Norm Rank BeadsOnly
358.5943201775814,26.912808836734825,5.0,1787.9352185379068,12ca5,0.035068020362379104,0.7418520142682471,19747721.763814162,18.401901117749386,80,3157,3232,3312,6389,0.25814798573175296,6871767.546723132,-18.401901117749386,6636,8464,8072,14708,16536
428.218840985329,36.446509879665236,4.0,1708.846258061316,12ca5,0.0421336068451766,0.6726053700840912,103387635.85848227,24.78241837868991,850,8965,2569,3419,11534,0.3273946299159089,50324541.3808348,0.0,7791,5072,3604,11395,8676
400.5462817376817,18.659083510222874,3.0,1198.617015803045,12ca5,0.0013988250267675047,0.9520555936749936,7631464.000230425,24.275835949851036,710,8627,2753,3463,11380,0.047944406325006454,384311.6025077527,0.0,10932,8585,9631,20563,18216
458.7244384601119,39.92700561182767,4.0,1830.8686479604476,12ca5,0.009266238641733855,0.6407910485723143,54293260.665652186,23.994578485211473,1765,2527,1776,3541,4303,0.3592089514276858,30435233.570679374,0.0,7514,8173,10112,17626,18285
409.4795610751402,29.022306275000794,4.0,1633.8891384205608,12ca5,0.01945097328699447,0.7596905429673142,104991266.55976601,25.991735116808666,819,6436,2722,3541,9158,0.2403094570326858,33211410.216589853,0.0,8430,6104,5262,13692,11366
454.2489518781519,60.802770170574426,2.0,906.4833508163038,12ca5,0.013306297771840298,0.6944462388338112,21689540.861318544,13.821147252048602,3395,6803,198,3593,7001,0.3055537611661888,9543317.27575187,-13.821147252048602,3949,6800,7518,11467,14318
419.980724305274,49.976031359603354,2.0,837.946895670548,12ca5,0.043880865290485814,0.6972342463949814,83035232.948295,15.56471689112236,146,8124,3518,3664,11642,0.30276575360501856,36057071.22010316,-15.56471689112236,3808,9980,1278,5086,11258
449.2236238649594,49.81978466206738,2.0,896.4326947899187,12ca5,0.03703633944837104,0.661456811009946,94941944.03821564,15.994064312328993,3611,6303,103,3714,6406,0.33854318899005403,48592663.902782716,-15.994064312328993,7059,4587,9635,16694,14222
418.73444610060955,22.472181202117515,2.0,835.454339261219,12ca5,0.022709901753690687,0.6718547001519,31354883.49977774,24.992244115885807,3006,8471,781,3787,9252,0.32814529984810004,15314260.13007065,0.0,7939,1056,4505,12444,5561
451.2422958610618,27.859369405946346,2.0,900.4700387821235,12ca5,0.03591010645782599,0.7015542820802942,31529624.385601968,24.644123684321546,2669,5087,1153,3822,6240,0.29844571791970576,13412905.638031103,0.0,8703,767,9042,17745,9809
395.21130900165997,24.570238748241348,2.0,788.4080650633199,12ca5,0.006428563842484873,0.6241753367771026,28739033.34381214,14.337480568889399,3115,3161,708,3823,3869,0.3758246632228973,17304172.227565713,-14.337480568889399,1389,10714,6719,8108,17433
445.7256970251385,39.9278813762062,2.0,889.436841110277,12ca5,0.029309910306640544,0.7042862399902327,152229028.39054248,20.694146082109228,2408,1815,1449,3857,3264,0.29571376000976735,63917503.72494179,-20.694146082109228,9434,6123,4104,13538,10227
453.23747719376155,22.50802455895375,2.0,904.460401447523,12ca5,0.028672514606907125,0.6895173932101777,21653586.616906084,14.301082768288328,3738,9591,119,3857,9710,0.3104826067898223,9750387.858768482,-14.301082768288328,6407,3701,9729,16136,13430
550.9415288005755,66.16952916802232,3.0,1649.8027569917265,12ca5,0.00898174058641298,0.7523365267262553,22935793.62365118,13.381453236663598,1971,1965,1952,3923,3917,0.24766347327374472,7550289.144993369,-13.381453236663598,3553,9729,10201,13754,19930
366.978306129013,15.32392041864726,5.0,1829.855148295065,12ca5,0.0059628531478105136,0.8266452608361397,2534834.333142634,22.736862738595637,3427,10752,545,3972,11297,0.17335473916386046,531576.9235779166,0.0,10355,6626,10127,20482,16753
537.2775755696737,48.350451010304155,3.0,1608.810897299021,12ca5,0.0240410695048481,0.6709896728632146,128685747.02936915,26.942175439099458,1563,2241,2521,4084,4762,0.3290103271367854,63099241.970904976,0.0,5344,8836,935,6279,9771
415.9696667953097,38.3538867147664,4.0,1659.8495613012387,12ca5,0.0008980934465715214,0.7101924422290471,279009441.45488995,16.646566433495135,3465,2738,676,4141,3414,0.2898075577709529,113855118.7186545,-16.646566433495135,3739,3364,3261,7000,6625
467.9847499402349,48.42145849424627,4.0,1867.9098938809395,12ca5,0.03639705583277166,0.6650954663615802,46012386.41831629,13.036044049687575,219,3794,3927,4146,7721,0.3349045336384199,23169240.49913677,-13.036044049687575,8623,4533,5828,14451,10361
553.9567073361202,53.3664949348771,3.0,1658.8482925983606,12ca5,0.040835462276758085,0.7245145249027855,211738973.4986871,18.606881416661178,1308,7386,2868,4176,10254,0.2754854750972145,80510479.37059525,-18.60688141666118,284,6638,5700,5984,12338
420.46274520688786,40.411298382883764,4.0,1677.8218749475514,12ca5,0.007610686928240591,0.6150560861212312,79552248.86411661,15.831569133100018,2653,6510,1573,4226,8083,0.38494391387876875,49789205.775902,-15.831569133100018,3273,270,452,3725,722
408.9755844484237,22.19022764944946,4.0,1631.8732319136948,12ca5,0.006564999938907988,0.7846564001755313,34950211.54772149,25.084057117061725,4124,8910,136,4260,9046,0.21534359982446877,9591847.29472594,0.0,8093,8184,10713,18806,18897
527.3009919670696,51.034769591890125,3.0,1578.881146491209,12ca5,0.043709910739393246,0.6606486363319515,102527487.45614819,26.486303126567115,448,7480,3816,4264,11296,0.3393513636680486,52664670.39859372,0.0,7720,1826,9348,17068,11174
534.6259748883642,45.57512238861593,3.0,1600.8560952550927,12ca5,0.00242486715846431,0.7246909929270137,209618532.516362,27.654377602016762,930,3320,3348,4278,6668,0.27530900707298633,79633761.99569835,0.0,110,1211,7135,7245,8346
432.7350914176466,39.365735549155225,2.0,863.4556298952931,12ca5,0.03312985704274142,0.66223152285028,138002903.72986498,18.723506012906352,3346,5525,999,4345,6524,0.3377684771497201,70387816.08349137,-18.723506012906352,1689,2916,9718,11407,12634
405.2368911025754,38.45449676321794,4.0,1616.9184585303015,12ca5,0.030962193939424645,0.6532651387240049,115736571.70869851,26.61092857462225,28,3094,4341,4369,7435,0.3467348612759951,61429734.66234381,0.0,8927,2714,5835,14762,8549
396.9852686976725,27.120998254050225,4.0,1583.91196891069,12ca5,0.0298398284974443,0.6617102273344254,27738197.38384029,25.363871267638174,3567,765,816,4383,1581,0.33828977266557464,14180751.784556843,0.0,9455,7544,4287,13742,11831
422.9866246232548,42.17650833322379,4.0,1687.917392613019,12ca5,0.03004685986509503,0.610514477680515,163285673.06547832,16.646995777329863,1817,4522,2594,4411,7116,0.3894855223194849,104170184.30556741,-16.646995777329867,1511,473,2087,3598,2560
545.2946682474158,46.077970960969914,3.0,1632.8621753322473,12ca5,0.01555138785191527,0.683947242417977,101532138.8762889,26.649323399303597,680,6542,3836,4516,10378,0.3160527575820231,46918110.76188439,0.0,3592,3128,10296,13888,13424
552.9469482519103,56.27581377826891,3.0,1655.8190153457308,12ca5,0.008118783854335138,0.7334214944087448,90862201.53359343,26.28433187663008,3832,4469,724,4556,5193,0.2665785055912551,33025906.77286261,0.0,10503,3394,2843,13346,6237
425.4690978737082,27.8777346520984,2.0,848.9236428074164,12ca5,0.041515119140026036,0.6507307244821228,66942354.413198635,14.934918766362975,2873,10085,1707,4580,11792,0.3492692755178772,35930234.654228605,-14.934918766362976,4395,6536,10746,15141,17282
384.21032459883946,38.42509997681794,2.0,766.4060962576789,12ca5,0.02305319048204958,0.7118223962162288,96399939.74060506,26.574617984448803,1194,6619,3414,4608,10033,0.2881776037837711,39027015.4283102,0.0,7609,4276,4909,12518,9185
570.6282527367105,50.128456295757246,3.0,1708.8629288001314,12ca5,0.0006280364977597891,0.6636063901154445,117827700.75408174,26.70122026975309,1196,5552,3490,4686,9042,0.33639360988455547,59728908.870463625,0.0,6731,6399,7589,14320,13988
510.77978837202414,34.20821266718066,2.0,1019.5450238040482,12ca5,0.009696144696199543,0.9730941569225016,106756774.1751121,15.655058223574068,420,9916,4351,4771,14267,0.0269058430774985,2951801.7274912796,-15.655058223574068,8880,8802,9308,18188,18110
