Compound,m/z,z,p value,specificity
"Sel Score: 0.96 RTime: 4104.516 Areas: [795913.9467427892, 375387.16502781963, 549413.5171428066, 1037675.8958453321, 505255.63511466945, 985872.769718145]",425.0056,2.0,0.06386235851951205,ACE2
"Sel Score: 0.96 RTime: 2994.921 Areas: [150487.83049977847, 154576.95406559235, 382261.66860481736, 366052.40479032253, 1308889.56596857, 143134.12363997777]",432.4426,4.0,0.04812527694910382,ACE2
"Sel Score: 0.96 RTime: 1739.421 Areas: [3546215.1736232275, 54564.13049127681, 86549.00353975859, 104227.32951772638, 57901.25205386563, 34151.41743912355]",416.4953,4.0,0.07240604941297633,ACE2
"Sel Score: 0.96 RTime: 1743.684 Areas: [980658.0364730471, 215712.64870103152, 353303.5517629731, 1600171.6307632069, 958666.0301182538, 262632.40481852734]",416.4952,2.0,0.07243680794933216,ACE2
"Sel Score: 0.96 RTime: 1360.297 Areas: [1430836.555567905, 404250.20090740296, 370539.52088801155, 1412898.7694911011, 641889.8367904997, 381450.51435204945]",387.9624,4.0,0.1313567593820849,ACE2
"Sel Score: 0.96 RTime: 2638.261 Areas: [383305.0732141697, 282101.77932781074, 390680.1967675078, 1273658.3100321875, 427496.84632174706, 119896.98138563761]",551.654,3.0,0.0021885439061902576,ACE2
"Sel Score: 0.96 RTime: 1729.224 Areas: [1131760.45900358, 918258.5556603243, 985287.3222844031, 837217.0401311497, 622002.8568869397, 232825.1509469737]",416.4955,4.0,0.07252840203418305,ACE2
"Sel Score: 0.96 RTime: 1618.267 Areas: [461586.74439719424, 427769.1762211489, 719474.1974919921, 2373952.168321612, 721376.097850859, 112584.95023087156]",429.952,4.0,0.01531138215853244,ACE2
"Sel Score: 0.96 RTime: 1647.822 Areas: [782995.1841076852, 483672.05710966425, 669005.8735529119, 1059885.1708032263, 677148.6028657209, 202707.04226865355]",525.2822,3.0,0.009880784947031521,ACE2
"Sel Score: 0.96 RTime: 3150.35 Areas: [876563.0889490717, 389389.5980193708, 407147.4911372705, 330540.8630180617, 2387971.0895377016, 195837.54073698752]",553.6203,3.0,0.12488255578255518,ACE2
"Sel Score: 0.96 RTime: 1740.226 Areas: [928249.1612484624, 164259.4008228574, 206489.60480263588, 405620.7702027639, 133335.82387822412, 328911.3219871669]",419.2533,2.0,0.06653452944210222,ACE2
"Sel Score: 0.96 RTime: 1433.846 Areas: [1803322.549785026, 720684.7233715653, 152642.08608398057, 212841.20261591635, 329897.78586053784, 344115.2667629285]",387.9641,2.0,0.13195877504975073,ACE2
"Sel Score: 0.96 RTime: 2998.913 Areas: [1684405.2423816149, 128551.19053628463, 115632.9743419634, 682773.7089695561, 627101.3834595456, 153729.57276318118]",432.4425,4.0,0.044366540899078474,ACE2
"Sel Score: 0.96 RTime: 1484.956 Areas: [657956.5749910062, 204718.49134263184, 452833.24858402525, 829217.3276001285, 301682.1142708168, 96411.90103500595]",517.2862,3.0,0.11249115452072092,ACE2
"Sel Score: 0.96 RTime: 1848.191 Areas: [748620.2805727214, 527608.4364970768, 450849.1828017229, 615702.2054179863, 336985.19397598354, 204920.153026767]",416.4927,4.0,0.07316440648255092,ACE2
"Sel Score: 0.96 RTime: 1386.409 Areas: [2985504.770210911, 1287774.5516430628, 1109770.3096531823, 1019984.3439813826, 6643430.415672078, 2665829.2838069196]",536.2785,3.0,0.0865422221345024,ACE2
"Sel Score: 0.95 RTime: 3002.302 Areas: [2714564.9455356398, 899839.0308152438, 356127.27147493884, 3935217.119681662, 515410.0381829627, 460482.1244060741]",432.9442,4.0,0.04310086228162564,ACE2
"Sel Score: 0.95 RTime: 3402.911 Areas: [623774.4774005065, 447852.8971231949, 107376.85504913385, 855544.8504812489, 540222.9573459228, 572624.8838183219]",526.6156,3.0,0.07528670585318421,ACE2
"Sel Score: 0.95 RTime: 2864.605 Areas: [292686.73397537874, 2058008.3905581685, 2122482.2133204034, 170246.6874058423, 595308.8353125611, 469001.1074227363]",397.721,2.0,0.03047196396655899,ACE2
"Sel Score: 0.95 RTime: 2855.108 Areas: [333311.5922068483, 239199.70671290738, 223820.40300478414, 721044.4706714139, 1075434.619153373, 217233.42321641924]",409.7486,4.0,0.012082255543147407,ACE2
"Sel Score: 0.95 RTime: 3669.089 Areas: [473785.2443112479, 1048868.4555624323, 577512.6924860843, 1083059.197818951, 601332.237667552, 432254.1377339249]",775.3987,2.0,0.040148024715323874,ACE2
"Sel Score: 0.95 RTime: 3167.807 Areas: [498917.20376465254, 447989.23574041063, 549774.8596197675, 754991.7894526973, 600137.5886398996, 544328.6860050005]",436.448,4.0,0.04552146198268067,ACE2
"Sel Score: 0.95 RTime: 2436.136 Areas: [1985220.7434650676, 1480521.8355334378, 1027530.0991625825, 510933.17721543997, 307700.43545651116, 135214.6985170082]",396.2406,4.0,0.009640854359476472,ACE2
"Sel Score: 0.95 RTime: 3177.683 Areas: [2630017.572224971, 824628.2231780688, 237967.68016994605, 1294645.0531692253, 651645.408562572, 297916.3382866512]",424.7031,2.0,0.03189002045373637,ACE2
"Sel Score: 0.95 RTime: 3397.801 Areas: [537891.9789740759, 875015.4068926872, 410088.35700960807, 229568.83130770636, 796598.0692874867, 135745.9729731279]",526.6156,3.0,0.07590863451578542,ACE2
"Sel Score: 0.95 RTime: 1756.772 Areas: [1180145.4011575985, 617852.010520518, 828031.6722102977, 2026157.833299797, 407279.99535273825, 342457.8609335805]",408.2528,2.0,0.029980244761849323,ACE2
"Sel Score: 0.95 RTime: 3177.596 Areas: [169228.15978049877, 867036.7484044771, 795752.1532032551, 139030.31426530716, 367306.00049026695, 173462.98351851988]",436.4477,4.0,0.036894241578839214,ACE2
